"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718293457172572E9,"2024-06-13 17:44:17.173 UTC+02:00"
"PAUSE",3.005610734166694E2,1.718293757736880E9,"2024-06-13 17:49:17.737 UTC+02:00"
