"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717671966307386E9,"2024-06-06 13:06:06.307 UTC+02:00"
"PAUSE",3.000070338333317E2,1.717672266313036E9,"2024-06-06 13:11:06.313 UTC+02:00"
