"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718293455948753E9,"2024-06-13 17:44:15.949 UTC+02:00"
"PAUSE",3.005837148333085E2,1.718293756537831E9,"2024-06-13 17:49:16.538 UTC+02:00"
