"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.460666671E-3,-3.365001082E-2,1.284251958E-1,-1.434954721E-2
1.851466667E-2,-4.009485990E-2,1.328662783E-1,-5.854862742E-3
2.856866667E-2,-4.047536105E-2,1.441550851E-1,-1.246997248E-2
3.862166667E-2,-3.217668086E-2,1.591721177E-1,-2.681588940E-2
4.867566667E-2,-1.491774991E-2,1.698590070E-1,-3.754645959E-2
5.872866667E-2,1.486076508E-5,1.695884317E-1,-4.112468287E-2
6.878266667E-2,5.289192311E-3,1.644246578E-1,-3.795992211E-2
7.883566667E-2,-2.095486969E-3,1.494925767E-1,-3.403868526E-2
8.888966667E-2,-8.279744536E-3,1.296328604E-1,-2.763722464E-2
9.894266667E-2,-6.879986729E-3,1.109095067E-1,-1.375762839E-2
1.089966667E-1,-3.318157978E-3,9.953229874E-2,7.749548182E-3
1.190496667E-1,2.813770436E-3,8.858937025E-2,2.369256131E-2
1.291036667E-1,1.137997676E-2,8.032949269E-2,2.301663160E-2
1.391566667E-1,1.386150997E-2,7.805914432E-2,2.153804339E-2
1.492106667E-1,1.701083779E-2,8.515515924E-2,2.099877037E-2
1.592636667E-1,2.067321539E-2,9.748585522E-2,1.475232746E-2
1.693176667E-1,2.352018654E-2,1.153568849E-1,5.604206584E-3
1.793706667E-1,2.508612536E-2,1.318149567E-1,-9.019743651E-3
1.894246667E-1,2.140164189E-2,1.381828338E-1,-1.981992647E-2
1.994776667E-1,2.621264197E-2,1.315789968E-1,-2.541762404E-2
2.095316667E-1,3.671401739E-2,1.336235106E-1,-1.825398766E-2
2.195846667E-1,6.292485446E-2,1.543668658E-1,-1.077955961E-2
2.296386667E-1,1.126114652E-1,1.954313964E-1,-1.700523123E-2
2.396926667E-1,1.598804444E-1,2.502496541E-1,-4.734928906E-2
2.497456667E-1,1.687133163E-1,3.017292619E-1,-9.094545990E-2
2.597996667E-1,1.228193268E-1,3.460562527E-1,-1.160305738E-1
2.698526667E-1,5.517944694E-2,3.944303393E-1,-1.087855101E-1
2.799066667E-1,8.886783384E-3,4.459166825E-1,-8.475900441E-2
2.899596667E-1,-1.973455027E-2,4.766278863E-1,-6.243488938E-2
