"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717675118759018E9,"2024-06-06 13:58:38.759 UTC+02:00"
"PAUSE",3.000070296249978E2,1.717675418759443E9,"2024-06-06 14:03:38.759 UTC+02:00"
