"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717675117321724E9,"2024-06-06 13:58:37.322 UTC+02:00"
"PAUSE",3.005947273333368E2,1.717675417912595E9,"2024-06-06 14:03:37.913 UTC+02:00"
