"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717671299651555E9,"2024-06-06 12:54:59.652 UTC+02:00"
"PAUSE",3.000112667083376E2,1.717671599661903E9,"2024-06-06 12:59:59.662 UTC+02:00"
