"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718292901808868E9,"2024-06-13 17:35:01.809 UTC+02:00"
"PAUSE",3.006194727499969E2,1.718293202433879E9,"2024-06-13 17:40:02.434 UTC+02:00"
