Time,tunde_Arm_3_X (rad/s),tunde_Arm_3_Y (rad/s),tunde_Arm_3_Z (rad/s),tunde_Arm_3_X (m/s^2),tunde_Arm_3_Y (m/s^2),tunde_Arm_3_Z (m/s^2),tunde_Been_3_X (rad/s),tunde_Been_3_Y (rad/s),tunde_Been_3_Z (rad/s),tunde_Been_3_X (m/s^2),tunde_Been_3_Y (m/s^2),tunde_Been_3_Z (m/s^2),tunde_3_Distance (meters),tunde_3_Pace (seconds),tunde_Arm_1_HR (bpm)
00:00:00.000,-0.017326582769791998,0.14585257172000002,-0.0251554874692,-1.00608782956,4.310346588,8.808238174400001,0.009783791636777776,-0.0012291835220777775,-0.001389855053211111,-8.335042190500001,-5.129967178399999,0.7523804168799999,3.5,170.9,111.0
00:00:00.100,0.015864174812800003,0.104608499266,0.006309479473500001,-0.9603429564699999,4.3140438996,8.801906341400002,0.0034542088626,0.0078237705168,-0.00327588533984,-8.3340392762,-5.0466204987,0.8321794738699999,3.5,170.9,111.0
00:00:00.200,0.07866612273377777,0.2998257610666667,-0.061815945016666665,-1.02470910636,4.2661285401999995,8.7127218018,0.003723149233700001,-0.0027850100767,0.001052510086393,-8.3780028534,-5.1574799653,0.73628887938,3.5,170.9,111.0
00:00:00.300,-0.023269338252999996,0.03932093753799999,-0.060734778642,-1.9145636445,4.412509139999999,8.7122427979,0.018793754652390002,-0.004587640124599999,0.0017688022927800002,-8.3353715057,-5.1130074461,0.80962138367,3.5,170.9,111.0
00:00:00.400,0.0278765380048,-0.31251220555,-0.048626835645000005,-1.33076266478,4.3277703553,8.634644165000001,0.06494124792799999,0.0006357307318,-0.005198137509200001,-8.360444366500001,-5.1598300781,0.7411687316800001,3.5,170.9,111.0
00:00:00.500,0.00328651743539,0.278197139127,-0.115143390004,-1.069925079411111,4.532092132777779,8.60284362788889,0.20351016074,-0.04704916531853301,-0.017714025871249997,-8.6489394378,-4.9159572143,0.58414526368,3.5,170.9,111.0
00:00:00.600,0.05394502170300001,0.27487470209000003,-0.10390065909499999,-1.3370346221999998,4.7180687256,8.286962173400001,0.2089720707090909,0.051237017765454536,0.0621551307409091,-8.477560821600001,-4.557871856700001,1.0597662048300003,3.5,170.9,111.0
00:00:00.700,0.025693784910259997,0.23439569322999998,-0.233662598571,-2.0332069245,4.7264063874,8.2901056365,0.2339462787,-0.0304636433243,0.033366189617000004,-8.2933987885,-4.8252009430000005,0.8547225951499999,3.5,170.9,111.0
00:00:00.800,0.097782782466,0.373193416,-0.40666476786000005,-2.6281148071000002,4.2062680208000005,8.5051334839,0.158420452469,-0.07134677806,0.191875274464,-8.7850962984,-4.9762368623,0.616672622619,3.5,170.9,111.0
00:00:00.900,0.0614161267419,0.60978874564,-0.182226853086,-1.38725518802,4.0603215179,8.243657226500002,0.33214075266999993,0.015322956618999998,0.18520826694999998,-8.398165924100002,-4.638060104199999,1.6045882416000001,3.5,170.9,111.0
00:00:01.000,0.022994799871,0.6659988434099999,-0.088946319373,-3.1921568755000003,5.3214938965,8.4044827881,0.22845158725,0.21600845606000002,0.12646540924,-8.568495358636364,-4.260331504090908,1.641813104909091,3.5,170.9,110.0
00:00:01.100,-0.011025881756200003,0.28154875562,-0.146184814346,-4.0955283051,4.8723229524,7.7620637054,0.18053143175,0.07112803962099999,0.17224292158799998,-8.9775510865,-3.7047060241000005,1.5290702819,3.5,170.9,110.0
00:00:01.200,0.043285941142999995,0.12113889737530001,-0.1482065231306,-4.5929738615,4.889656906200001,7.4160582275,0.05106768365500001,0.11816993580600002,0.16910197884999997,-8.7513863983,-2.9736861877000003,1.3539793855000002,3.5,170.9,110.0
00:00:01.300,-0.136332060405,-0.198996636275,0.05264264289399999,-3.6919076386,5.1334249878,7.8031981658,-0.0063515704605,0.029510891593912004,0.30142148436000005,-9.131446060200002,-3.2433354491000004,0.97580580144,3.5,170.9,110.0
00:00:01.400,-0.036159649261500004,-0.06563282114999999,0.0275294076642,-3.9081329956,4.5245810851999995,7.2637948607,0.0181929153279,0.12155377642299998,0.36340390741,-8.9436016846,-3.6907550352999996,1.14080767829,3.5,170.9,110.0
00:00:01.500,0.03035237817,0.32978957593400005,-0.07144402414300001,-3.7700601196999997,5.071618515100001,7.9949344483,-0.028572928851699996,0.089774823925,0.35082331895,-8.909068496500002,-3.0805339967000003,1.1362571411,3.5,170.9,110.0
00:00:01.600,-0.0016235869837600003,0.23804032578800002,0.096919446807,-3.6598892212000003,5.1199230652,7.794501251099999,-0.16417625098,0.15023660585000004,0.44641411305,-9.1576266175,-2.8191325837,1.0134225769299998,3.5,170.9,110.0
00:00:01.700,0.056677497695300005,1.05664848675,0.16766840666,-3.5507511748,5.0103808594,7.259109603799999,-0.131562004966,0.25555543153,0.5671748220899999,-9.05739505,-2.591291382,0.98255676277,3.5,170.9,110.0
00:00:01.800,0.119048469523,1.4523320675,0.25607877969,-4.961672149699999,5.1957404022,6.5723078154,0.059893848176000006,0.16766659020799998,0.79791380166,-9.607860351,-2.2340592501,0.85334545891,3.5,170.9,110.0
00:00:01.900,-0.165461802864,0.5149058192900001,0.5617280870599999,-5.4488340912,5.0716334838999995,6.1989392396,0.29137100726000004,-0.145369864637,1.0230466782699998,-9.7343323524,-2.305550583,0.7884254608,3.5,170.9,110.0
00:00:02.000,-0.28957781046,0.44083080888000004,0.75678113103,-5.1897079468000005,4.8442862549,5.8386235199000005,0.40060080885,-0.1932527624,0.9264932573500001,-10.4663850403,-1.61106976321,0.33289274596,3.5,170.9,109.0
