Time,tunde_Arm_3_X (rad/s),tunde_Arm_3_Y (rad/s),tunde_Arm_3_Z (rad/s),tunde_Arm_3_X (m/s^2),tunde_Arm_3_Y (m/s^2),tunde_Arm_3_Z (m/s^2),tunde_Been_3_X (rad/s),tunde_Been_3_Y (rad/s),tunde_Been_3_Z (rad/s),tunde_Been_3_X (m/s^2),tunde_Been_3_Y (m/s^2),tunde_Been_3_Z (m/s^2),tunde_3_Distance (meters),tunde_3_Pace (seconds),tunde_Arm_1_HR (bpm)
00:00:00.000,-0.006616664829991111,0.13791120299888887,-0.020826486974222222,-1.0264904021099999,4.2777593536000005,8.838954299900001,0.009783791636777776,-0.0012291835220777775,-0.001389855053211111,-8.335042190500001,-5.129967178399999,0.7523804168799999,,,111.0
00:00:00.100,0.025878500752,0.114595370007,0.0002619137973000011,-0.9699230346699999,4.321678024400001,8.824314742899999,0.0034542088626,0.0078237705168,-0.00327588533984,-8.3340392762,-5.0466204987,0.8321794738699999,,,
00:00:00.200,0.05036069741439999,0.34856881351,-0.07306308634400001,-1.32160171505,4.2577908784,8.5905608369,0.0037231492337,-0.002785010076699999,0.001052510086393,-8.3780028534,-5.1574799653,0.73628887938,,,
00:00:00.300,-0.014599050859000002,-0.174661486602,-0.062350080162,-1.8307595825555554,4.477439117444444,8.825064849777778,0.01879375465239,-0.004587640124599999,0.0017688022927800002,-8.3353715057,-5.1130074461,0.80962138367,,,
00:00:00.400,0.02902007052979,-0.195584638803,-0.054003623133,-1.12883258056,4.2905876771,8.586773712200001,0.064941247928,0.0006357307318000001,-0.0051981375092,-8.360444366500001,-5.1598300781,0.7411687316800001,,,
00:00:00.500,0.0187839324824,0.37055345177,-0.11457517072600001,-1.26159150709,4.6464576417,8.5041605071,0.20351016074,-0.04704916531853301,-0.01771402587125,-8.6489394378,-4.9159572143,0.58414526368,,,
00:00:00.600,0.050492273921999994,0.25298740268,-0.09839714096,-1.3520933074,4.739683777000001,8.2964973449,0.2089720707090909,0.051237017765454536,0.06215513074090909,-8.477560821600001,-4.557871856700001,1.0597662048300003,,,
00:00:00.700,0.039790244378259995,0.23420348017,-0.36351564377,-2.4504193268999996,4.524341583300001,8.2783401031,0.2339462787,-0.0304636433243,0.033366189617000004,-8.2933987885,-4.8252009430000005,0.8547225951499999,,,
00:00:00.800,0.11404975950399998,0.39781884254,-0.33339413999999995,-2.5446334076,4.1530985871,8.4140179596,0.158420452469,-0.07134677806,0.191875274464,-8.7850962984,-4.9762368623,0.616672622619,,,
00:00:00.900,0.0200961955859,0.82887981543,-0.163283836856,-1.20482954402,4.3677073059,8.4436563263,0.33214075267000004,0.015322956618999998,0.18520826694999998,-8.398165924100002,-4.638060104199999,1.6045882416000001,,,
00:00:01.000,0.009636882139000002,0.37625247015999996,-0.026630127057999997,-3.8185892027999997,5.2458112794,8.226008926400002,0.22845158725,0.21600845606000002,0.12646540924,-8.568495358636364,-4.260331504090908,1.641813104909091,,,110.0
00:00:01.100,0.031408013039799995,0.36341413707000003,-0.215156985821,-4.2349783172999995,4.923950592100001,7.5298665618000005,0.18053143175,0.07112803962099999,0.17224292158799998,-8.9775510865,-3.7047060241000005,1.5290702819,3.5,170.9,
00:00:01.200,-0.02431406547,-0.0375024409697,-0.0769492394016,-4.3968367308,4.888624054,7.5783058318,0.05106768365500001,0.11816993580599999,0.16910197884999997,-8.7513863983,-2.9736861877000003,1.3539793855000002,,,
00:00:01.300,-0.125197535014,-0.19512573108000003,0.05691358670610001,-3.6847674865999998,4.978227722200001,7.701110458299999,-0.0063515704605,0.029510891593912004,0.30142148436000005,-9.131446060200002,-3.2433354491000004,0.97580580144,,,
00:00:01.400,0.004760784515499998,0.020797572754,0.0028136204930999968,-3.8713395081,4.6459786377,7.3587573852000006,0.0181929153279,0.12155377642299998,0.36340390741,-8.9436016846,-3.6907550352999996,1.14080767829,,,
00:00:01.500,0.011754646106000003,0.34118073284,-0.06030527539300001,-3.8875807342999997,5.233237426900001,8.0922171478,-0.028572928851699996,0.089774823925,0.35082331895,-8.909068496500002,-3.0805339967000003,1.1362571411,,,
00:00:01.600,0.00869852039074,0.40795358791799996,0.156257956467,-3.4625994872999994,4.8272516784,7.587391937099999,-0.16417625097999997,0.15023660585000004,0.44641411305,-9.1576266175,-2.8191325837,1.01342257693,,,
00:00:01.700,0.08836496296179999,1.32111583936,0.18057374804999998,-3.8072577665,5.117198730499999,7.1582792816000005,-0.131562004966,0.25555543153,0.5671748220899999,-9.05739505,-2.591291382,0.98255676277,,,
00:00:01.800,0.06985091753900001,1.2012317777,0.34883786737,-5.380007217500001,5.384842163099999,6.260880431999999,0.059893848176,0.167666590208,0.79791380166,-9.607860351,-2.2340592501,0.85334545891,,,
00:00:01.900,-0.2106084774,0.37991159160000004,0.5991946723666667,-5.3315380097,4.8123576508,6.0226807709,0.29137100726000004,-0.145369864637,1.0230466782699998,-9.7343323524,-2.305550583,0.7884254608,,,
00:00:02.000,-0.33237517923,0.4451867610300001,0.7876139044699999,-5.3556079559,4.8947463226,5.8827667237,0.40060080885,-0.1932527624,0.9264932573500001,-10.4663850403,-1.61106976321,0.33289274596,,,109.0
00:00:02.100,-0.6208508133699999,0.48690930008999994,0.9192548930800001,-5.393218078777777,5.005940094,5.995282745444444,0.31702056230000003,-0.4716628044699999,0.6649781584800001,-9.7767691044,0.184461410521,1.3170212401499999,,,
