"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.947135418E-1,-6.437614560E-1,3.632824719E-1,6.425381899E-1,9.794173227E-1
7.046555417E-1,-6.161628962E-1,3.341951370E-1,7.451098561E-1,1.023001369E0
7.145985417E-1,-5.851744413E-1,2.073606104E-1,8.646668196E-1,1.064460548E0
7.245405418E-1,-5.677688122E-1,7.873330265E-3,9.512872100E-1,1.107867668E0
7.344835417E-1,-5.698138475E-1,-1.955881417E-1,9.990063310E-1,1.166600271E0
7.444265417E-1,-5.914719701E-1,-2.898539305E-1,1.001822352E0,1.198958889E0
7.543685418E-1,-6.424834132E-1,-2.802699506E-1,9.622459412E-1,1.190484537E0
7.643115417E-1,-7.256920338E-1,-2.007266581E-1,9.029016495E-1,1.175649398E0
7.742535417E-1,-8.621628284E-1,-1.204675660E-1,8.344957829E-1,1.205910606E0
7.841965418E-1,-1.017087936E0,-9.696844034E-3,8.207999468E-1,1.307009737E0
7.941385417E-1,-1.154904366E0,1.136650369E-1,8.740785718E-1,1.452837632E0
8.040815417E-1,-1.243835092E0,2.106448561E-1,9.937871695E-1,1.605960749E0
8.140235418E-1,-1.282233357E0,2.657919228E-1,1.138813257E0,1.735414465E0
8.239665417E-1,-1.252753258E0,2.373570949E-1,1.295003414E0,1.817350532E0
8.339085417E-1,-1.231295705E0,2.210267037E-1,1.370426655E0,1.855535269E0
8.438515418E-1,-1.228513718E0,2.346799225E-1,1.377344728E0,1.860483571E0
8.537935417E-1,-1.240235090E0,2.786165178E-1,1.333219767E0,1.842087183E0
8.637365417E-1,-1.241230607E0,2.818839550E-1,1.276288867E0,1.802505272E0
8.736795417E-1,-1.202714443E0,2.695496380E-1,1.236959457E0,1.746209535E0
8.836215417E-1,-1.102361202E0,2.456722558E-1,1.236244082E0,1.674471412E0
8.935639167E-1,-9.346019030E-1,2.348871678E-1,1.263733983E0,1.589237641E0
9.035059167E-1,-7.767901421E-1,1.722762585E-1,1.292908072E0,1.518121641E0
9.134489167E-1,-6.560924053E-1,4.849980399E-2,1.311351418E0,1.467123723E0
9.233909167E-1,-5.931200981E-1,-5.996888503E-2,1.296167374E0,1.426687625E0
9.333339167E-1,-6.307556629E-1,-1.137847453E-1,1.222721457E0,1.380524334E0
9.432759167E-1,-7.363572121E-1,-1.157546937E-1,1.127166390E0,1.351341987E0
9.532189168E-1,-8.719972372E-1,-2.943390608E-2,1.013834476E0,1.337574627E0
9.631609167E-1,-1.006787300E0,9.515968710E-2,9.005206227E-1,1.354109828E0
9.731039167E-1,-1.123105526E0,1.454153508E-1,7.853202820E-1,1.378129019E0
9.830469168E-1,-1.212778449E0,1.215347871E-1,6.786133051E-1,1.395033436E0
9.929889167E-1,-1.290868759E0,7.623018324E-2,5.963078737E-1,1.423986051E0
1.002931917E0,-1.348815441E0,-1.298597641E-2,5.624260902E-1,1.461435882E0
1.012873917E0,-1.392515063E0,-1.154525131E-1,5.473091006E-1,1.500658101E0
1.022816917E0,-1.405535460E0,-1.795625240E-1,5.659448504E-1,1.525800184E0
1.032758917E0,-1.417586684E0,-1.930567622E-1,6.032549143E-1,1.552655600E0
1.042701917E0,-1.418790698E0,-2.243457139E-1,6.550885439E-1,1.578746035E0
1.052643917E0,-1.439635873E0,-2.670887113E-1,6.974354386E-1,1.621821204E0
1.062586917E0,-1.486018062E0,-2.653203905E-1,7.143118978E-1,1.669995831E0
1.072528917E0,-1.511341929E0,-2.730645537E-1,7.348831296E-1,1.702578014E0
1.082471917E0,-1.496134043E0,-4.112703502E-1,7.629193068E-1,1.729047785E0
1.092413917E0,-1.432503462E0,-6.470406651E-1,8.065063357E-1,1.766686237E0
1.102356917E0,-1.337605953E0,-9.804822803E-1,8.782236576E-1,1.876649136E0
1.112299917E0,-1.176819682E0,-1.298854947E0,9.635802507E-1,2.000103907E0
