"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.342088833E0,1.306121707E0,-1.783787459E-1,3.641181439E-2,1.318748919E0
6.352031833E0,1.304784060E0,-1.939582378E-1,1.626813263E-1,1.329114914E0
6.361973833E0,1.245668173E0,-1.248161197E-1,2.265216410E-1,1.272234379E0
6.371916833E0,1.135927081E0,-3.367955610E-2,2.735155225E-1,1.168877832E0
6.381858833E0,1.035056591E0,1.791475713E-1,2.534784675E-1,1.080595823E0
6.391801833E0,1.033893585E0,4.880958200E-1,2.263027877E-1,1.165498360E0
6.401743833E0,1.053100586E0,5.839252472E-1,1.396920681E-1,1.212230759E0
6.411686833E0,1.038534164E0,5.018261075E-1,7.884736359E-2,1.156113991E0
6.421629833E0,1.012110591E0,4.240354896E-1,3.713002056E-2,1.097976586E0
6.431571833E0,9.726260304E-1,3.670313358E-1,4.477702454E-2,1.040537543E0
6.441514833E0,9.176220298E-1,2.595371902E-1,1.042117998E-1,9.592965349E-1
6.451456833E0,8.885411620E-1,1.282247007E-1,2.048361599E-1,9.208174753E-1
6.461399833E0,9.200054407E-1,1.106016114E-1,2.793885469E-1,9.678329854E-1
6.471341833E0,9.826187491E-1,2.616979182E-1,2.795866728E-1,1.054606142E0
6.481284833E0,1.006555200E0,4.788962007E-1,1.987411827E-1,1.132251297E0
6.491227833E0,9.892336726E-1,6.231886744E-1,1.286963224E-1,1.176227073E0
6.501169833E0,9.575305581E-1,7.379779220E-1,6.977964193E-2,1.210927488E0
6.511112833E0,9.121979475E-1,7.717417479E-1,4.790896177E-2,1.195820091E0
6.521054833E0,9.060639143E-1,7.239044309E-1,5.601434410E-2,1.161088734E0
6.530997833E0,9.782251716E-1,5.489352942E-1,1.145684645E-1,1.127555044E0
6.540940833E0,1.119804263E0,3.222483099E-1,2.029247135E-1,1.182786540E0
6.550882833E0,1.265207291E0,1.850257516E-1,2.164128274E-1,1.296849463E0
6.560825833E0,1.297890186E0,1.688965410E-1,1.852498055E-1,1.321878386E0
6.570767833E0,1.165593863E0,2.821349502E-1,9.391563386E-2,1.202925321E0
6.580710833E0,9.140183330E-1,4.443032146E-1,5.446661264E-3,1.016299427E0
6.590652833E0,6.591809988E-1,6.317918897E-1,-7.799284160E-2,9.163860891E-1
6.600595833E0,5.018402934E-1,7.957137823E-1,-1.654849201E-1,9.551907465E-1
6.610538833E0,4.414120913E-1,7.949201465E-1,-1.629778296E-1,9.237447951E-1
6.620480833E0,4.650476873E-1,7.037511468E-1,-1.407748312E-1,8.551915465E-1
6.630423833E0,5.531540513E-1,6.562017202E-1,-1.969848424E-1,8.805584196E-1
6.640365833E0,6.517179012E-1,5.188480020E-1,-2.270848751E-1,8.634274795E-1
6.650308833E0,7.055526376E-1,3.878178298E-1,-1.785298586E-1,8.246696938E-1
6.660251833E0,6.819039583E-1,3.581179082E-1,-1.584394723E-1,7.863488481E-1
6.670193833E0,6.093940735E-1,2.926883101E-1,-1.498619616E-1,6.924494142E-1
6.680136833E0,5.429898500E-1,1.883782893E-1,-1.859058291E-1,6.040573933E-1
6.690078833E0,5.274226069E-1,1.182034612E-1,-2.407429814E-1,5.916957391E-1
6.700021833E0,5.174959302E-1,1.305957735E-1,-2.943778634E-1,6.095208120E-1
6.709963833E0,4.598262608E-1,2.150776386E-1,-3.132439256E-1,5.965067792E-1
6.719906833E0,3.721258640E-1,3.562062085E-1,-2.845616043E-1,5.885030401E-1
6.729849833E0,2.836186290E-1,4.745962322E-1,-2.328113168E-1,5.999018416E-1
6.739791833E0,2.339393049E-1,4.798598289E-1,-1.462562382E-1,5.535195941E-1
6.749734833E0,2.287032604E-1,4.511645436E-1,-7.975365222E-2,5.120695966E-1
6.759676833E0,2.150759846E-1,4.029121101E-1,-3.723831847E-2,4.582385186E-1
6.769619833E0,1.867439449E-1,1.833528578E-1,2.203778736E-2,2.626351757E-1
6.779562833E0,1.896732748E-1,-1.071903333E-1,5.257344246E-2,2.241198018E-1
6.789504833E0,2.122451663E-1,-2.782332003E-1,6.896236911E-3,3.500132604E-1
6.799447833E0,1.846720278E-1,-3.977579474E-1,-2.082941681E-2,4.390318977E-1
6.809389833E0,1.178024486E-1,-4.265230298E-1,-1.576248743E-2,4.427728174E-1
6.819332833E0,4.240370542E-2,-3.093087673E-1,-6.364964880E-3,3.122667138E-1
6.829274833E0,-5.746616796E-2,-1.153861806E-1,2.030020207E-2,1.304930241E-1
6.839217833E0,-1.859402508E-1,3.790963441E-2,9.234616160E-2,2.110420119E-1
6.849160833E0,-3.174322248E-1,1.191738620E-1,1.831066906E-1,3.853487860E-1
6.859102833E0,-4.072103202E-1,1.287650019E-1,2.396796048E-1,4.897417519E-1
6.869045833E0,-4.283015132E-1,4.409271851E-2,2.571216822E-1,5.014956764E-1
6.878987833E0,-4.147058725E-1,-1.199677885E-1,2.476865947E-1,4.977166666E-1
6.888930833E0,-4.234908521E-1,-2.807960808E-1,2.029657215E-1,5.471617905E-1
6.898874167E0,-4.896383584E-1,-3.727422953E-1,1.299791634E-1,6.289492218E-1
6.908816167E0,-6.443285942E-1,-3.971080780E-1,5.490463972E-2,7.588601204E-1
6.918759167E0,-8.645974994E-1,-3.692080677E-1,-1.372223906E-2,9.402296172E-1
6.928701167E0,-1.108477235E0,-2.590376139E-1,-6.957165897E-2,1.140465905E0
6.938644167E0,-1.338450789E0,-9.857770056E-2,-8.326581120E-2,1.344656564E0
6.948586167E0,-1.518735886E0,3.084100597E-2,-4.419697076E-2,1.519691821E0
6.958529167E0,-1.647441626E0,7.292573899E-2,3.884660453E-2,1.649512392E0
6.968472167E0,-1.733100057E0,6.853285432E-2,1.510394514E-1,1.741018516E0
6.978414167E0,-1.826765060E0,1.641755551E-1,2.496897876E-1,1.851045431E0
6.988357167E0,-2.024032354E0,3.810322285E-1,2.553111911E-1,2.075349690E0
6.998299167E0,-2.371754646E0,5.625472069E-1,1.517719924E-1,2.442276438E0
7.008242167E0,-2.844513655E0,5.904648900E-1,-5.692315102E-2,2.905709374E0
7.018185167E0,-3.346390724E0,4.625275135E-1,-3.095318377E-1,3.392355014E0
7.028127167E0,-3.766910791E0,2.358096987E-1,-4.984319806E-1,3.807053659E0
7.038070167E0,-4.038500786E0,-6.152113900E-2,-5.331976414E-1,4.074011926E0
7.048012167E0,-4.139420033E0,-4.353863597E-1,-4.135706425E-1,4.182750311E0
7.057955167E0,-4.236946583E0,-2.977034450E-1,-2.434285134E-1,4.254362599E0
7.067898167E0,-4.133218288E0,-2.468977682E-2,9.199418128E-5,4.133292031E0
7.077840167E0,-3.698639393E0,2.608458698E-1,2.908964455E-1,3.719219632E0
7.087783167E0,-3.308215141E0,6.172604561E-1,3.456747532E-1,3.383014769E0
7.097725167E0,-3.035012007E0,6.988240480E-1,3.841789365E-1,3.138032248E0
7.107668167E0,-2.964708805E0,6.216741204E-1,3.530934453E-1,3.049697033E0
7.117610167E0,-3.050987482E0,3.048330843E-1,2.805721164E-1,3.078988233E0
7.127553167E0,-3.183676243E0,-1.991994530E-1,2.353521436E-1,3.198572412E0
7.137496167E0,-3.247826338E0,-6.650767326E-1,2.043288648E-1,3.321513701E0
7.147438167E0,-3.197765112E0,-7.632070184E-1,1.606250703E-1,3.291502252E0
7.157381167E0,-3.044547081E0,-3.965375423E-1,9.542160481E-2,3.071744494E0
7.167323167E0,-2.816477537E0,1.435858756E-1,2.819010429E-2,2.820276104E0
7.177266167E0,-2.578067064E0,5.472225547E-1,2.214716934E-2,2.635597240E0
7.187209167E0,-2.401648998E0,6.749570370E-1,7.379864901E-2,2.495782673E0
7.197151167E0,-2.308974266E0,5.875024796E-1,1.688429415E-1,2.388520308E0
7.207094167E0,-2.261672735E0,3.333708942E-1,3.082306683E-1,2.306795582E0
7.217036167E0,-2.201583385E0,4.302915931E-2,5.061625838E-1,2.259429457E0
7.226979167E0,-2.121942282E0,-9.696070105E-2,6.540740132E-1,2.222578061E0
7.236922167E0,-2.022089005E0,-9.940528125E-2,6.694672108E-1,2.132348869E0
7.246864167E0,-1.962045670E0,2.859422937E-2,5.758336782E-1,2.045000065E0
7.256807167E0,-1.979431033E0,1.352882385E-1,4.607051015E-1,2.036835613E0
7.266749167E0,-2.070971012E0,3.502815068E-1,3.106250465E-1,2.123230083E0
7.276692167E0,-2.184898376E0,4.913659096E-1,2.161760628E-1,2.249878544E0
7.286634167E0,-2.313863277E0,5.218686461E-1,1.754390299E-1,2.378463580E0
7.296577167E0,-2.453920603E0,4.480685592E-1,2.015499622E-1,2.502621455E0
7.306520167E0,-2.557552338E0,2.655229867E-1,3.042113781E-1,2.589231735E0
7.316462167E0,-2.590403795E0,4.585015029E-2,4.794386923E-1,2.634797054E0
7.326405167E0,-2.579609394E0,-1.261543632E-1,6.843358874E-1,2.671818698E0
7.336347167E0,-2.590004206E0,-1.210748255E-1,8.045743108E-1,2.714796626E0
7.346290167E0,-2.621966600E0,-3.010816500E-2,9.457333088E-1,2.787476789E0
7.356233167E0,-2.698204517E0,-2.099764198E-1,8.917163014E-1,2.849483405E0
7.366175167E0,-2.651540995E0,-4.138898849E-1,7.283723950E-1,2.780737461E0
7.376118167E0,-2.452071428E0,-1.508378088E-1,5.935646892E-1,2.527394978E0
7.386060167E0,-2.222662926E0,1.449075639E-1,4.566765726E-1,2.273715500E0
7.396003167E0,-1.968143106E0,1.614435315E-1,3.725437224E-1,2.009587053E0
7.405946167E0,-1.724429488E0,-2.493248135E-2,3.463539183E-1,1.759045117E0
7.415888167E0,-1.504336715E0,-3.285423219E-1,3.393298984E-1,1.576741510E0
7.425831167E0,-1.281575441E0,-4.930953085E-1,3.548686504E-1,1.418277249E0
7.435773167E0,-1.066491127E0,-5.158277750E-1,3.361838758E-1,1.231463039E0
7.445716167E0,-9.086428881E-1,-4.829497635E-1,2.805666924E-1,1.066578661E0
7.455658167E0,-8.943198919E-1,-3.591314554E-1,1.824890375E-1,9.808596842E-1
7.465601167E0,-9.881630540E-1,-1.461424530E-1,7.844705880E-2,1.001986916E0
7.475544167E0,-1.162825227E0,3.619951755E-2,2.199790999E-2,1.163596503E0
7.485486167E0,-1.377908826E0,1.014493629E-1,2.851546556E-2,1.381932646E0
7.495429167E0,-1.567195296E0,6.283079088E-2,9.058406204E-2,1.571067878E0
7.505371167E0,-1.665934086E0,-7.130322047E-4,1.860416085E-1,1.676290060E0
7.515314167E0,-1.693836212E0,-2.160698548E-2,2.630698681E-1,1.714279362E0
7.525257167E0,-1.690248370E0,-8.753414731E-4,2.874825299E-1,1.714522244E0
7.535199167E0,-1.681639314E0,7.030175626E-2,2.762711048E-1,1.705631508E0
7.545142167E0,-1.716760993E0,1.201390848E-1,2.702725828E-1,1.742053092E0
7.555084167E0,-1.807157040E0,2.544378638E-1,2.145508975E-1,1.837549259E0
7.565027167E0,-1.831683517E0,3.404353261E-1,1.917385310E-1,1.872891983E0
7.574970167E0,-1.836534739E0,3.526262045E-1,1.933454275E-1,1.880049877E0
7.584912167E0,-1.848567963E0,2.974359095E-1,2.363645285E-1,1.887204235E0
7.594855167E0,-1.868229747E0,1.503487080E-1,2.996212840E-1,1.898067447E0
7.604797167E0,-1.871461749E0,-3.034651279E-2,3.537346125E-1,1.904840719E0
7.614740167E0,-1.833746552E0,-1.252397150E-1,3.836073577E-1,1.877622435E0
7.624683167E0,-1.767590761E0,-1.126301736E-1,3.596823215E-1,1.807327869E0
7.634625167E0,-1.685822845E0,-1.065752804E-1,2.785249352E-1,1.711996815E0
7.644568167E0,-1.600905299E0,-7.609247416E-2,1.880877018E-1,1.613711506E0
7.654510167E0,-1.521512866E0,-1.398054603E-2,1.181271374E-1,1.526155588E0
7.664453167E0,-1.470224380E0,1.980511472E-2,9.022307396E-2,1.473123272E0
7.674395167E0,-1.453550458E0,3.523375839E-2,1.099105626E-1,1.458125743E0
7.684338167E0,-1.461869359E0,-1.098673418E-2,1.649266779E-1,1.471184400E0
7.694281167E0,-1.508836627E0,-1.466158628E-1,2.490957379E-1,1.536272393E0
7.704223167E0,-1.614842415E0,-2.279924750E-1,3.714791834E-1,1.672630676E0
7.714166167E0,-1.790865183E0,-3.446677029E-1,4.815929532E-1,1.886246458E0
7.724108167E0,-2.019350767E0,-3.736503422E-1,5.389726162E-1,2.123177708E0
7.734051167E0,-2.280068159E0,-3.732903302E-1,5.712431073E-1,2.379994783E0
7.743994167E0,-2.511869431E0,-2.864246666E-1,6.012905240E-1,2.598668394E0
7.753936167E0,-2.631638765E0,-6.293482333E-2,6.697096825E-1,2.716246388E0
7.763879167E0,-2.628864050E0,1.156136096E-1,7.731370330E-1,2.742632599E0
7.773821167E0,-2.491549015E0,2.517541349E-1,8.974178433E-1,2.660179585E0
7.783764167E0,-2.253183603E0,3.673902154E-1,9.701786041E-1,2.480535919E0
7.793707167E0,-1.884564638E0,5.550053120E-1,8.843540549E-1,2.154459762E0
7.803649167E0,-1.445069075E0,8.424770236E-1,7.312446833E-1,1.825571404E0
7.813592167E0,-9.779546857E-1,9.781988263E-1,4.294990897E-1,1.448356924E0
7.823534167E0,-5.761001706E-1,8.804057240E-1,-7.123911381E-2,1.054552349E0
7.833477167E0,-2.446728200E-1,6.430695653E-1,-5.890838504E-1,9.057720670E-1
7.843420167E0,4.356455803E-2,2.785190344E-1,-9.647922516E-1,1.005134226E0
7.853362167E0,2.888413966E-1,-4.021307826E-2,-1.138733625E0,1.175483183E0
7.863305167E0,4.817977846E-1,-2.661668658E-1,-1.112044215E0,1.240812735E0
7.873247167E0,6.865251660E-1,-3.451260924E-1,-9.251820445E-1,1.202659818E0
7.883190167E0,8.682704568E-1,-5.302714184E-2,-7.086020708E-1,1.121972530E0
7.893132167E0,9.801661372E-1,3.978615105E-1,-5.390511155E-1,1.187263889E0
7.903072167E0,1.041375756E0,6.818604469E-1,-4.255374074E-1,1.315476803E0
7.913015167E0,1.055237651E0,6.163690686E-1,-3.372622430E-1,1.267747273E0
7.922957167E0,1.060885072E0,2.031114548E-1,-2.709569633E-1,1.113619807E0
7.932900167E0,1.086188555E0,-2.964950800E-1,-2.664007843E-1,1.157015249E0
7.942842167E0,1.169505239E0,-6.052891016E-1,-3.699844480E-1,1.367847174E0
7.952785167E0,1.314855576E0,-6.158582568E-1,-5.522751212E-1,1.553426660E0
7.962728167E0,1.484658718E0,-2.620871365E-1,-7.377732992E-1,1.678454830E0
7.972670167E0,1.654810071E0,2.992926538E-1,-8.651276231E-1,1.891142054E0
7.982613167E0,1.814453006E0,7.530454993E-1,-9.064284563E-1,2.163545650E0
7.992555167E0,1.966263175E0,8.716627955E-1,-8.648803234E-1,2.318190000E0
8.002498167E0,2.096863985E0,6.709560156E-1,-7.563195229E-1,2.327883109E0
8.012441167E0,2.249488354E0,2.505840063E-1,-6.053041220E-1,2.342943294E0
8.022383167E0,2.448046684E0,-1.501681954E-1,-4.423943162E-1,2.492227074E0
8.032326167E0,2.714101791E0,-4.913367331E-1,-2.615349889E-1,2.770588542E0
8.042268167E0,3.039759874E0,-5.761091709E-1,-7.738886029E-2,3.094839399E0
8.052211167E0,3.367695332E0,-1.817352027E-1,9.847138077E-2,3.374032623E0
8.062154167E0,3.656521559E0,5.643479824E-1,2.605345845E-1,3.708977868E0
8.072096167E0,3.843752146E0,1.376916766E0,3.617683053E-1,4.098927499E0
8.082039167E0,3.909204960E0,1.818721652E0,3.979798555E-1,4.329898363E0
8.091981167E0,3.898273230E0,1.715311170E0,4.074524343E-1,4.278416070E0
8.101924167E0,3.845716238E0,1.312512517E0,4.100551307E-1,4.084160587E0
8.111867167E0,3.652233124E0,6.676428914E-1,3.520093858E-1,3.729405372E0
8.121809167E0,3.293149948E0,-3.717837855E-2,1.396457404E-1,3.296319121E0
8.131752167E0,2.915866613E0,-3.884198666E-1,-7.653385401E-2,2.942618822E0
8.141694167E0,2.637028933E0,-4.874673486E-1,-1.593925208E-1,2.686438531E0
8.151637167E0,2.465309858E0,-4.318726361E-1,-1.235174313E-1,2.505897689E0
8.161580167E0,2.341155767E0,-1.500846297E-1,-9.343196452E-2,2.347821385E0
8.171522167E0,2.244647503E0,1.229214072E-1,-1.099092662E-1,2.250695922E0
8.181465167E0,2.165309668E0,1.462357789E-1,-1.206652448E-1,2.173594019E0
8.191407167E0,2.157249928E0,-2.867033780E-1,-3.398901597E-2,2.176483708E0
8.201350167E0,2.232810974E0,-6.728675365E-1,1.240679920E-1,2.335291938E0
8.211293167E0,2.262644768E0,-9.020320177E-1,2.654942572E-1,2.450246989E0
8.221235167E0,2.250556946E0,-1.247415543E0,3.079160154E-1,2.591498481E0
8.231178167E0,2.320941448E0,-1.422354341E0,2.644152045E-1,2.734918002E0
8.241120167E0,2.463695288E0,-1.354763031E0,1.696977466E-1,2.816731202E0
8.251063167E0,2.595827579E0,-1.158913016E0,3.602561355E-2,2.843008626E0
8.261006167E0,2.596216917E0,-9.596598744E-1,-1.673373580E-1,2.772957112E0
8.270948167E0,2.479702711E0,-7.981939316E-1,-4.939112365E-1,2.651412340E0
8.280891167E0,2.380315542E0,-6.051400900E-1,-8.332323432E-1,2.593525158E0
8.290833167E0,2.356292486E0,-4.679438770E-1,-1.007112741E0,2.604872708E0
8.300776167E0,2.390432358E0,-4.470748007E-1,-1.001976132E0,2.630208909E0
8.310719167E0,2.449393988E0,-6.171094179E-1,-8.281749487E-1,2.658237891E0
8.320661167E0,2.438734293E0,-9.244251251E-1,-5.853561759E-1,2.672943811E0
8.330604167E0,2.275308847E0,-1.097705245E0,-3.797502518E-1,2.554642325E0
8.340546167E0,1.982834816E0,-1.026018500E0,-2.722038627E-1,2.249098222E0
8.350489167E0,1.626452327E0,-8.445550203E-1,-2.066419125E-1,1.844267126E0
8.360432167E0,1.285973549E0,-6.339498758E-1,-1.259617060E-1,1.439266051E0
8.370374167E0,1.007539272E0,-4.212402105E-1,-5.327157676E-2,1.093351069E0
8.380317167E0,8.254746199E-1,-3.098143637E-1,2.963475697E-2,8.821969773E-1
8.390259167E0,7.192882895E-1,-3.577864468E-1,1.298008114E-1,8.137782472E-1
8.400202167E0,6.788508296E-1,-4.759002924E-1,2.355703861E-1,8.618659663E-1
8.410145167E0,6.990433931E-1,-6.302100420E-1,3.406262994E-1,1.000925891E0
8.420087167E0,6.760246158E-1,-7.068356276E-1,3.790884614E-1,1.048968039E0
8.430030167E0,5.403916836E-1,-6.480139494E-1,3.642739356E-1,9.190433888E-1
8.439972167E0,3.215402961E-1,-4.391618967E-1,3.555334508E-1,6.501195030E-1
8.449915167E0,1.216306388E-1,-1.172010899E-1,3.873463869E-1,4.225722793E-1
8.459858167E0,-2.480220608E-2,2.489334941E-1,4.390321970E-1,5.053041697E-1
8.469800167E0,-9.903657436E-2,5.928471684E-1,5.104539990E-1,7.885678749E-1
8.479743167E0,-9.528551251E-2,8.535136580E-1,6.715726256E-1,1.090217724E0
8.489685167E0,-4.962182418E-2,9.471050501E-1,9.184732437E-1,1.320251264E0
8.499628167E0,-5.728667602E-3,8.921272755E-1,1.260537267E0,1.544305052E0
8.509571167E0,-9.160838090E-3,8.132829666E-1,1.657084107E0,1.845925471E0
8.519513167E0,-9.984573722E-2,7.428463697E-1,2.012998581E0,2.148011449E0
8.529456167E0,-2.621119618E-1,7.687292099E-1,2.282953262E0,2.423122547E0
8.539398167E0,-4.746010602E-1,9.300535917E-1,2.477617502E0,2.688649166E0
8.549341167E0,-6.983077526E-1,1.151966214E0,2.621990442E0,2.947794727E0
8.559284167E0,-9.076018333E-1,1.401945353E0,2.698451042E0,3.173457088E0
8.569226167E0,-1.091546774E0,1.625738025E0,2.676566124E0,3.316399358E0
8.579169167E0,-1.205583930E0,1.779623985E0,2.574487448E0,3.353875335E0
8.589111167E0,-1.226602077E0,1.831775069E0,2.457561016E0,3.301447972E0
8.599054167E0,-1.133172631E0,1.843073010E0,2.463989019E0,3.279060875E0
8.608997167E0,-1.019759417E0,1.866508245E0,2.608221769E0,3.365498937E0
8.618939167E0,-1.022760868E0,1.710637689E0,2.727451324E0,3.378063324E0
8.628882167E0,-1.133801818E0,1.530113578E0,2.795152426E0,3.382252387E0
8.638824167E0,-1.321264148E0,1.293128729E0,2.791939735E0,3.348559144E0
8.648767167E0,-1.506435275E0,1.045117617E0,2.694145203E0,3.258839739E0
8.658710167E0,-1.616079211E0,9.735696912E-1,2.513702393E0,3.142968291E0
8.668652167E0,-1.616599917E0,9.701400995E-1,2.292775154E0,2.968397718E0
8.678595167E0,-1.457464933E0,9.055533409E-1,2.130745888E0,2.735746502E0
8.688537167E0,-1.162426472E0,8.590055704E-1,2.091125488E0,2.542032982E0
8.698480167E0,-8.378572464E-1,7.719249725E-1,2.184730530E0,2.463923785E0
8.708423167E0,-6.244470477E-1,5.358419418E-1,2.377608538E0,2.515965632E0
8.718365167E0,-5.901972055E-1,2.672163546E-1,2.576781273E0,2.656979309E0
8.728308167E0,-4.124214649E-1,3.545313776E-1,2.099915028E0,2.169199642E0
8.738250167E0,-4.952690378E-2,4.123259485E-1,7.322691679E-1,8.418335561E-1
8.748193167E0,-1.343977749E-1,-2.463746369E-1,2.038988322E-1,3.468976180E-1
8.758136167E0,-3.439379334E-1,-4.760520458E-1,2.598435879E-1,6.422130040E-1
8.768078167E0,-5.993357301E-1,-4.560277164E-1,5.606560111E-1,9.388821855E-1
8.778021167E0,-7.925767899E-1,-3.844030797E-1,7.368144989E-1,1.148407289E0
8.787963167E0,-8.438183069E-1,-3.242945373E-1,8.626650572E-1,1.249554834E0
8.797906167E0,-7.729361057E-1,-2.726414800E-1,9.536093473E-1,1.257431663E0
8.807849167E0,-6.570544839E-1,-3.514403105E-1,1.048360944E0,1.286192659E0
8.817791167E0,-4.973950386E-1,-4.388684034E-1,1.114443183E0,1.296915922E0
8.827734167E0,-3.114914894E-1,-3.652055562E-1,1.219182491E0,1.310270199E0
8.837676167E0,-1.367950588E-1,-4.114489555E-1,1.314393997E0,1.384064562E0
8.847619167E0,5.594172329E-2,-5.342622399E-1,1.335026383E0,1.439048666E0
8.857562167E0,2.733752429E-1,-6.237998605E-1,1.273872256E0,1.444510580E0
8.867504167E0,5.108579993E-1,-6.660003662E-1,1.161817908E0,1.433301516E0
8.877447167E0,6.866540909E-1,-6.210254431E-1,1.007433653E0,1.368243036E0
8.887389167E0,7.702267170E-1,-4.942147732E-1,8.664217591E-1,1.260231765E0
8.897332167E0,7.464215755E-1,-3.396408856E-1,7.552853823E-1,1.114879863E0
8.907274458E0,5.996302962E-1,-1.731226742E-1,6.402571201E-1,8.941236673E-1
8.917216458E0,3.555390835E-1,1.317860931E-1,5.462520123E-1,6.649562956E-1
8.927159458E0,2.090471983E-1,2.830356359E-1,5.235387087E-1,6.307952773E-1
8.937102458E0,1.169399172E-1,3.333749771E-1,5.110884309E-1,6.213092658E-1
8.947044458E0,1.521903723E-1,1.541368067E-1,5.629155040E-1,6.031533215E-1
8.956987458E0,2.989846170E-1,5.320432782E-2,5.959467292E-1,6.688609764E-1
8.966929458E0,5.116485357E-1,5.993333086E-2,5.495956540E-1,7.532805660E-1
8.976872458E0,7.199319601E-1,1.443491429E-1,4.585405886E-1,8.656778694E-1
8.986815458E0,8.461155891E-1,2.741267979E-1,3.378100991E-1,9.514056730E-1
8.996757458E0,9.152826667E-1,3.897740543E-1,2.549413145E-1,1.026967014E0
9.006700458E0,9.330351949E-1,5.132759809E-1,1.520789564E-1,1.075702057E0
9.016642458E0,9.384728670E-1,6.604574323E-1,6.496855617E-2,1.149415615E0
9.026585458E0,9.615007639E-1,9.038456082E-1,-2.151371911E-2,1.319804320E0
9.036528458E0,1.094404817E0,8.750123382E-1,-3.910017014E-2,1.401747951E0
9.046470458E0,1.273616910E0,6.527785063E-1,-8.405348659E-2,1.433626451E0
9.056413458E0,1.385043263E0,4.336056411E-1,-1.653435528E-1,1.460718037E0
9.066355458E0,1.452108622E0,3.159897625E-1,-2.553998232E-1,1.507878658E0
9.076298458E0,1.458141208E0,3.794938922E-1,-3.404987454E-1,1.544710585E0
9.086241458E0,1.396881938E0,5.844079256E-1,-3.895894289E-1,1.563519010E0
9.096183458E0,1.271340728E0,8.117877841E-1,-3.964744806E-1,1.559646969E0
9.106126458E0,1.154315233E0,1.207939148E0,-3.525024951E-1,1.707576836E0
9.116068458E0,1.100230694E0,1.872144341E0,-1.871567070E-1,2.179554920E0
9.126011458E0,1.153872132E0,2.169726849E0,-1.165105402E-1,2.460225640E0
9.135954458E0,1.364122033E0,2.241867304E0,-7.381261140E-2,2.625308788E0
9.145896458E0,1.800343752E0,2.007112741E0,-7.925451547E-2,2.697409954E0
9.155839458E0,2.260757923E0,1.703168392E0,-9.388139099E-2,2.832070387E0
9.165781458E0,2.586059332E0,1.231155396E0,-1.887358427E-1,2.870377622E0
9.175724458E0,2.783285618E0,7.060613036E-1,-3.709391952E-1,2.895306077E0
9.185667458E0,2.900477171E0,3.057228029E-1,-5.746389031E-1,2.972615703E0
9.195609458E0,2.997529745E0,1.593149751E-1,-7.113760114E-1,3.084902213E0
9.205552458E0,3.016392946E0,2.921257913E-1,-7.312059402E-1,3.117471092E0
9.215495458E0,2.901150703E0,6.065617204E-1,-6.877031922E-1,3.042618643E0
9.225437458E0,2.700924158E0,8.660510778E-1,-7.014214993E-1,2.921819279E0
9.235380458E0,2.502908230E0,1.333271027E0,-7.552713752E-1,2.934722489E0
9.245322458E0,2.291564465E0,1.346532822E0,-8.709940314E-1,2.796971387E0
9.255265458E0,2.096680403E0,1.195201874E0,-1.010163069E0,2.616296171E0
9.265208458E0,1.900710702E0,1.087827444E0,-1.121839643E0,2.460608442E0
9.275150458E0,1.631334901E0,1.125046730E0,-1.181118131E0,2.306951179E0
9.285093458E0,1.302024603E0,1.115053654E0,-1.191794157E0,2.087818486E0
9.295035458E0,1.087917924E0,1.078746557E0,-1.193459630E0,1.942062160E0
9.304978458E0,1.023495197E0,8.169070482E-1,-1.212801576E0,1.784871762E0
9.314921458E0,1.130127668E0,5.284043550E-1,-1.261479735E0,1.774184554E0
9.324863458E0,1.309190512E0,3.290844262E-1,-1.402436733E0,1.946562392E0
9.334806458E0,1.486926675E0,1.255874932E-1,-1.557057977E0,2.156653124E0
9.344748458E0,1.657810569E0,2.849607356E-2,-1.725648761E0,2.393117539E0
9.354691458E0,1.860686183E0,-3.753860295E-2,-1.846263051E0,2.621497563E0
9.364634458E0,2.025687933E0,-2.685971558E-1,-1.876884818E0,2.774572517E0
9.374576458E0,2.140746117E0,-4.701784849E-1,-1.843859196E0,2.864206431E0
9.384519458E0,2.134569645E0,-5.240098238E-1,-1.843726158E0,2.868849946E0
9.394462458E0,2.026884317E0,-3.298182189E-1,-1.869460464E0,2.777034843E0
9.404404458E0,1.863364935E0,-2.405490875E-1,-1.848888159E0,2.635978029E0
9.414347458E0,1.669305205E0,-3.033328354E-1,-1.830430865E0,2.495810055E0
9.424289458E0,1.419929624E0,-3.401635587E-1,-1.827188969E0,2.338916610E0
9.434232458E0,1.110162497E0,-3.864524961E-1,-1.786896706E0,2.138879645E0
9.444175458E0,8.441853523E-1,-6.784597039E-1,-1.725239158E0,2.037009237E0
9.454117458E0,5.898374915E-1,-9.804909825E-1,-1.578557849E0,1.949645023E0
9.464060458E0,3.269615173E-1,-1.227883220E0,-1.550463915E0,2.004629489E0
9.474002458E0,1.449818462E-1,-1.346364856E0,-1.646746278E0,2.132015798E0
9.483945458E0,3.492174298E-2,-1.332503319E0,-1.766199112E0,2.212745789E0
9.493888458E0,-3.610849008E-2,-1.264259458E0,-1.872380137E0,2.259527202E0
9.503830458E0,-8.290811628E-2,-1.437354922E0,-2.054196835E0,2.508503052E0
9.513773458E0,-6.682474911E-2,-1.586048722E0,-2.290297985E0,2.786661256E0
