Time,HR (bpm)
00:00:00,99.0
00:00:01,103.0
00:00:02,104.0
00:00:03,103.0
00:00:04,101.0
00:00:05,101.0
00:00:06,103.0
00:00:07,107.0
00:00:08,110.0
00:00:09,113.0
00:00:10,116.0
00:00:11,119.0
00:00:12,122.0
00:00:13,126.0
00:00:14,128.0
00:00:15,131.0
00:00:16,133.0
00:00:17,135.0
00:00:18,137.0
00:00:19,139.0
00:00:20,140.0
00:00:21,141.0
00:00:22,143.0
00:00:23,143.0
00:00:24,144.0
00:00:25,145.0
00:00:26,145.0
00:00:27,146.0
00:00:28,146.0
00:00:29,147.0
00:00:30,147.0
00:00:31,148.0
00:00:32,148.0
00:00:33,148.0
00:00:34,148.0
00:00:35,149.0
00:00:36,149.0
00:00:37,149.0
00:00:38,150.0
00:00:39,150.0
00:00:40,151.0
00:00:41,151.0
00:00:42,152.0
00:00:43,152.0
00:00:44,153.0
00:00:45,153.0
00:00:46,154.0
00:00:47,154.0
00:00:48,153.0
00:00:49,153.0
00:00:50,154.0
00:00:51,153.0
00:00:52,153.0
00:00:53,153.0
00:00:54,153.0
00:00:55,153.0
00:00:56,153.0
00:00:57,154.0
00:00:58,154.0
00:00:59,154.0
00:01:00,154.0
00:01:01,154.0
00:01:02,153.0
00:01:03,153.0
00:01:04,153.0
00:01:05,153.0
00:01:06,153.0
00:01:07,153.0
00:01:08,153.0
00:01:09,154.0
00:01:10,154.0
00:01:11,154.0
00:01:12,154.0
00:01:13,155.0
00:01:14,155.0
00:01:15,155.0
00:01:16,155.0
00:01:17,155.0
00:01:18,155.0
00:01:19,155.0
00:01:20,155.0
00:01:21,155.0
00:01:22,156.0
00:01:23,156.0
00:01:24,156.0
00:01:25,157.0
00:01:26,157.0
00:01:27,157.0
00:01:28,157.0
00:01:29,157.0
00:01:30,158.0
00:01:31,157.0
00:01:32,157.0
00:01:33,157.0
00:01:34,157.0
00:01:35,157.0
00:01:36,156.0
00:01:37,157.0
00:01:38,157.0
00:01:39,157.0
00:01:40,157.0
00:01:41,157.0
00:01:42,156.0
00:01:43,156.0
00:01:44,156.0
00:01:45,155.0
00:01:46,155.0
00:01:47,155.0
00:01:48,155.0
00:01:49,155.0
00:01:50,155.0
00:01:51,156.0
00:01:52,156.0
00:01:53,156.0
00:01:54,156.0
00:01:55,156.0
00:01:56,156.0
00:01:57,157.0
00:01:58,158.0
00:01:59,158.0
00:02:00,159.0
00:02:01,160.0
00:02:02,160.0
00:02:03,161.0
00:02:04,161.0
00:02:05,161.0
00:02:06,161.0
00:02:07,161.0
00:02:08,161.0
00:02:09,161.0
00:02:10,161.0
00:02:11,160.0
00:02:12,160.0
00:02:13,160.0
00:02:14,160.0
00:02:15,160.0
00:02:16,160.0
00:02:17,160.0
00:02:18,158.0
00:02:19,158.0
00:02:20,159.0
00:02:21,159.0
00:02:22,159.0
00:02:23,160.0
00:02:24,160.0
00:02:25,160.0
00:02:26,160.0
00:02:27,160.0
00:02:28,160.0
00:02:29,160.0
00:02:30,160.0
00:02:31,160.0
00:02:32,160.0
00:02:33,159.0
00:02:34,159.0
00:02:35,158.0
00:02:36,158.0
00:02:37,157.0
00:02:38,157.0
00:02:39,157.0
00:02:40,157.0
00:02:41,157.0
00:02:42,157.0
00:02:43,156.0
00:02:44,156.0
00:02:45,156.0
00:02:46,156.0
00:02:47,156.0
00:02:48,155.0
00:02:49,155.0
00:02:50,155.0
00:02:51,155.0
00:02:52,155.0
00:02:53,156.0
00:02:54,156.0
00:02:55,156.0
00:02:56,156.0
00:02:57,156.0
00:02:58,155.0
00:02:59,155.0
00:03:00,155.0
00:03:01,155.0
00:03:02,156.0
00:03:03,156.0
00:03:04,156.0
00:03:05,156.0
00:03:06,156.0
00:03:07,156.0
00:03:08,156.0
00:03:09,156.0
00:03:10,156.0
00:03:11,156.0
00:03:12,157.0
00:03:13,157.0
00:03:14,158.0
00:03:15,158.0
00:03:16,158.0
00:03:17,159.0
00:03:18,159.0
00:03:19,159.0
00:03:20,159.0
00:03:21,159.0
00:03:22,159.0
00:03:23,159.0
00:03:24,159.0
00:03:25,159.0
00:03:26,159.0
00:03:27,160.0
00:03:28,160.0
00:03:29,159.0
00:03:30,160.0
00:03:31,160.0
00:03:32,160.0
00:03:33,159.0
00:03:34,159.0
00:03:35,160.0
00:03:36,160.0
00:03:37,160.0
00:03:38,160.0
00:03:39,160.0
00:03:40,160.0
00:03:41,160.0
00:03:42,160.0
00:03:43,159.0
00:03:44,159.0
00:03:45,159.0
00:03:46,159.0
00:03:47,159.0
00:03:48,159.0
00:03:49,159.0
00:03:50,160.0
00:03:51,160.0
00:03:52,160.0
00:03:53,160.0
00:03:54,160.0
00:03:55,160.0
00:03:56,160.0
00:03:57,160.0
00:03:58,160.0
00:03:59,160.0
00:04:00,160.0
00:04:01,161.0
00:04:02,161.0
00:04:03,162.0
00:04:04,162.0
00:04:05,162.0
00:04:06,162.0
00:04:07,162.0
00:04:08,162.0
00:04:09,162.0
00:04:10,162.0
00:04:11,162.0
00:04:12,162.0
00:04:13,162.0
00:04:14,162.0
00:04:15,162.0
00:04:16,162.0
00:04:17,161.0
00:04:18,160.0
00:04:19,159.0
00:04:20,158.0
00:04:21,157.0
00:04:22,157.0
00:04:23,158.0
00:04:24,158.0
00:04:25,158.0
00:04:26,160.0
00:04:27,160.0
00:04:28,161.0
00:04:29,161.0
00:04:30,161.0
00:04:31,161.0
00:04:32,161.0
00:04:33,161.0
00:04:34,160.0
00:04:35,160.0
00:04:36,160.0
00:04:37,160.0
00:04:38,160.0
00:04:39,160.0
00:04:40,159.0
00:04:41,159.0
00:04:42,158.0
00:04:43,158.0
00:04:44,158.0
00:04:45,158.0
00:04:46,158.0
00:04:47,158.0
00:04:48,158.0
00:04:49,159.0
00:04:50,159.0
00:04:51,161.0
00:04:52,161.0
00:04:53,161.0
00:04:54,161.0
00:04:55,160.0
00:04:56,160.0
00:04:57,160.0
00:04:58,160.0
00:04:59,161.0
00:05:00,161.0
