"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717673566858916E9,"2024-06-06 13:32:46.859 UTC+02:00"
"PAUSE",3.000077162499947E2,1.717673866860946E9,"2024-06-06 13:37:46.861 UTC+02:00"
