"property","value"
"version","1.1.16"
"build","11317"
"fileFormat","1.18"
"deviceModel","iPhone12,8"
"deviceBrand","Apple"
"deviceBoard",""
"deviceManufacturer",""
"deviceBaseOS",""
"deviceCodename",""
"deviceRelease","16.1.1"
"depthFrontSensor","0"
"depthFrontResolution",""
"depthFrontRate",""
"depthBackSensor","0"
"depthBackResolution",""
"depthBackRate",""
