"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718292903024272E9,"2024-06-13 17:35:03.024 UTC+02:00"
"PAUSE",2.561602444166638E2,1.718293159186174E9,"2024-06-13 17:39:19.186 UTC+02:00"
