"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.518718750E-1,-1.440543383E-1,3.357089758E-1,7.408394217E-1
8.618168750E-1,-1.174680069E-1,3.040506542E-1,7.743787169E-1
8.717608750E-1,-1.040387824E-1,3.277776837E-1,8.123139143E-1
8.817058750E-1,-8.624620736E-2,3.928354979E-1,8.437227011E-1
8.916508750E-1,-6.188398972E-2,4.868334234E-1,8.543962240E-1
9.015958750E-1,-4.229510576E-2,5.609569550E-1,8.625729084E-1
9.115398750E-1,-4.140468687E-2,5.808004737E-1,8.654432893E-1
9.214848750E-1,-2.780285850E-2,6.135283709E-1,8.502118587E-1
9.314298750E-1,-4.794733971E-2,6.315545440E-1,8.348835707E-1
9.413738750E-1,-6.787577271E-2,6.408811808E-1,8.290925026E-1
9.513188750E-1,-7.286629081E-2,6.538011432E-1,8.350229263E-1
9.612638750E-1,-8.112155646E-2,6.030913591E-1,8.645203710E-1
9.712088750E-1,-8.380348235E-2,5.890006423E-1,9.102831483E-1
9.811538750E-1,-6.515122950E-2,5.642710924E-1,9.619910717E-1
9.910978750E-1,-1.876842603E-2,5.097743869E-1,1.022675276E0
1.001042875E0,3.137863055E-2,4.385784864E-1,1.074268699E0
1.010987875E0,3.145166114E-2,3.697734177E-1,1.101858139E0
1.020931875E0,2.822683752E-2,2.906413078E-1,1.092805862E0
1.030876875E0,4.807629436E-2,1.734411269E-1,1.056023598E0
1.040821875E0,7.565785199E-2,8.455625921E-2,1.031424046E0
1.050766875E0,1.058665738E-1,6.028581411E-2,1.024065256E0
1.060711875E0,9.813567996E-2,-2.698198147E-2,1.044265389E0
1.070655875E0,8.219649643E-2,-7.948573679E-2,1.053615451E0
1.080600875E0,7.343682647E-2,-6.752308458E-2,1.032428384E0
1.090545875E0,8.137113601E-2,-3.207800165E-2,1.021118164E0
1.100490875E0,6.758235395E-2,-2.608349547E-2,1.026022553E0
1.110430833E0,3.282418475E-2,-1.227725483E-2,1.037669778E0
1.120375833E0,5.064725876E-3,4.393115267E-2,1.036103845E0
1.130320833E0,-3.774455562E-2,8.787555993E-2,1.013793111E0
1.140264833E0,-6.807023287E-2,1.041890159E-1,9.707596898E-1
1.150209833E0,-7.503239065E-2,1.222173646E-1,9.329711795E-1
1.160154833E0,-1.114063710E-1,1.302558482E-1,9.071419835E-1
1.170099833E0,-1.525798589E-1,1.700247675E-1,8.762111664E-1
1.180044833E0,-1.789723188E-1,2.452830374E-1,8.324916363E-1
1.189988833E0,-2.014671713E-1,3.062338233E-1,8.135355711E-1
1.199933833E0,-2.221069485E-1,3.698823154E-1,8.301787376E-1
1.209878833E0,-2.242901623E-1,4.731468558E-1,9.030593634E-1
1.219823833E0,-2.212959677E-1,5.532951951E-1,9.231856465E-1
1.229767833E0,-1.986212283E-1,6.277970672E-1,9.243565798E-1
1.239712833E0,-1.603822261E-1,6.615755558E-1,9.189937711E-1
1.249657833E0,-1.288463175E-1,6.209660769E-1,9.000137448E-1
1.259602833E0,-1.261948794E-1,5.389838219E-1,8.625563383E-1
1.269546833E0,-1.509830654E-1,3.632999063E-1,8.112294078E-1
1.279491833E0,-1.670970619E-1,1.315444410E-1,7.774996758E-1
1.289436833E0,-1.560729593E-1,-1.791571677E-1,7.889233828E-1
1.299381833E0,-1.251565814E-1,-4.153054953E-1,8.444888592E-1
1.309325833E0,-4.211155698E-2,-4.975498915E-1,8.983570337E-1
1.319270833E0,3.401223943E-2,-4.729247093E-1,9.158782363E-1
1.329215833E0,8.272229135E-2,-3.676935732E-1,8.819031119E-1
1.339160833E0,1.164200678E-1,-2.905361950E-1,8.086395860E-1
1.349104833E0,1.028955728E-1,-3.042486906E-1,7.002677321E-1
