Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.1,3.0,200.3,44,449,,
2,4.0,10.4,200.3,44,449,,
3,4.6,11.8,200.3,44,449,,
4,8.4,19.8,243.7,24,383,16,
5,12.0,28.4,207.1,39,435,17,
6,14.8,36.1,183.5,57,494,21,
7,18.3,45.4,187.3,53,483,17,
8,21.6,53.2,187.3,53,483,17,
9,24.7,60.6,209.2,38,431,19,
10,28.1,68.9,209.2,38,431,19,
11,31.4,76.5,217.3,34,417,18,
12,34.6,84.1,207.7,39,434,19,
13,38.2,92.6,207.7,39,434,19,
14,41.5,100.2,219.0,33,414,18,
15,45.0,108.4,211.1,37,428,17,
16,48.4,116.3,215.5,35,420,18,
17,51.9,124.8,207.9,39,434,17,
18,55.5,133.7,204.1,41,441,17,
19,59.0,142.4,204.3,41,441,17,
20,62.6,151.3,199.1,44,452,17,
21,66.1,160.1,199.8,44,451,17,
22,69.6,168.7,205.0,41,439,17,
23,73.4,177.9,205.0,41,439,17,
24,77.0,186.8,210.9,37,428,16,
25,80.7,195.9,202.0,42,446,16,
26,84.2,204.6,203.1,42,443,17,
27,87.8,213.8,203.1,42,443,17,
28,91.4,222.8,201.0,43,448,17,
29,95.1,232.0,201.0,43,448,17,
30,98.9,241.6,199.6,44,451,16,
31,102.5,250.5,200.0,44,450,17,
32,106.2,259.8,202.0,42,446,16,
33,109.6,268.0,202.0,42,446,16,
34,112.9,276.2,205.0,41,439,18,
35,116.3,284.1,210.8,37,428,18,
36,119.7,292.8,200.5,43,449,17,
37,123.1,300.9,208.2,39,433,18,
38,126.6,309.4,204.7,41,440,17,
39,129.8,317.1,211.2,37,427,19,
40,133.5,325.7,215.3,35,420,16,
41,137.0,333.6,220.8,33,411,17,
42,140.5,341.9,220.8,33,411,17,
43,143.8,349.7,215.4,35,420,18,
44,147.2,358.1,215.4,35,420,18,
45,151.0,367.2,205.1,41,439,16,
46,154.7,375.8,216.0,35,419,16,
47,158.1,383.9,211.5,37,427,17,
48,161.6,392.3,210.5,38,429,17,
49,165.2,401.0,206.7,40,436,17,
50,168.6,409.4,206.7,40,436,17,
51,172.1,417.6,203.0,42,443,18,
52,175.6,426.3,213.7,36,423,17,
53,179.5,436.0,202.2,42,445,17,
54,183.3,445.7,193.3,48,466,16,
55,187.0,456.1,179.5,61,508,16,
56,190.5,465.4,187.7,53,482,17,
57,194.1,474.6,187.7,53,482,17,
58,197.9,484.3,198.3,45,454,17,
59,201.8,494.6,193.7,48,465,16,
60,205.3,503.7,192.5,49,468,17,
61,208.9,513.2,192.5,49,468,17,
62,212.4,522.4,191.5,50,471,17,
63,215.7,531.0,196.2,46,459,18,
64,219.3,540.0,196.0,46,459,17,
65,222.6,548.4,196.0,46,459,17,
66,226.1,557.3,200.5,43,449,18,
67,229.6,566.0,198.1,45,454,18,
68,232.9,574.6,198.1,45,454,18,
69,236.3,583.4,196.6,46,458,18,
70,239.8,592.7,190.5,51,474,17,
71,243.2,602.1,190.5,51,474,17,
72,246.8,612.0,179.9,60,506,17,
73,250.4,622.1,181.2,59,502,16,
74,253.7,630.9,181.2,59,502,16,
75,257.2,640.1,191.5,50,471,17,
76,260.4,648.6,192.1,49,469,19,
77,263.8,657.4,192.1,49,469,19,
78,267.4,666.7,194.4,48,463,17,
79,270.8,675.4,194.4,48,463,17,
80,274.7,685.0,201.3,43,447,16,
81,278.3,693.8,201.3,43,447,16,
82,281.6,702.2,199.9,44,450,18,
83,284.7,710.1,190.5,51,474,20,
84,287.9,718.5,195.5,47,461,18,
85,291.0,725.8,195.5,47,461,18,
86,294.4,734.4,196.2,46,459,18,
87,297.4,742.5,196.2,46,459,18,
