Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.6,1.6,0.0,,,,
2,4.1,12.4,177.5,63,515,,
3,7.6,24.1,161.3,83,587,17,
4,11.1,36.3,149.4,105,661,17,
5,14.6,48.5,144.1,117,702,17,
6,18.1,60.8,144.4,116,700,17,
7,21.6,73.0,143.2,119,710,17,
8,25.1,85.1,143.8,118,705,17,
9,28.6,97.4,143.7,118,705,17,
10,32.1,109.8,142.8,120,713,17,
11,35.6,122.2,142.2,122,718,18,
12,39.1,134.6,141.9,122,721,17,
13,42.6,147.0,141.9,122,721,17,
14,46.1,159.5,141.5,124,725,17,
15,49.6,172.0,141.1,125,728,18,
16,52.6,182.6,141.1,125,728,18,
17,56.1,195.0,139.8,128,740,18,
18,60.0,209.1,140.7,126,732,17,
19,63.1,219.9,140.8,125,731,17,
20,66.6,232.3,141.6,123,724,17,
21,70.1,244.7,141.5,124,725,17,
22,73.6,257.0,141.9,122,721,17,
23,77.1,269.5,142.2,122,718,18,
24,80.6,281.9,141.2,124,727,17,
25,84.1,294.4,141.6,123,724,18,
26,87.6,306.9,140.6,126,733,17,
27,91.1,319.4,140.4,126,735,17,
28,94.6,332.0,139.6,129,742,17,
29,98.1,344.6,139.7,128,741,17,
30,101.6,357.0,139.7,128,741,17,
31,105.1,369.7,140.3,127,736,17,
32,108.6,382.2,139.3,129,745,17,
33,112.1,394.7,139.5,129,743,17,
34,115.6,407.4,139.5,129,743,17,
35,119.1,419.9,139.1,130,747,17,
36,122.6,432.4,139.9,128,739,17,
37,126.1,445.2,139.4,129,744,17,
38,129.6,457.7,138.2,133,756,17,
39,133.1,470.3,139.3,129,745,17,
40,137.1,484.7,141.1,125,728,17,
41,140.6,497.2,141.2,124,727,17,
42,144.1,509.7,140.0,128,738,17,
43,147.6,522.3,139.8,128,740,17,
44,151.1,534.8,140.5,126,734,17,
45,154.6,547.1,141.6,123,724,17,
46,158.1,559.4,142.5,121,716,17,
47,161.6,571.7,142.8,120,713,17,
48,165.1,583.9,144.6,116,698,17,
49,168.6,595.6,144.6,116,698,17,
50,172.1,608.2,141.6,123,724,19,
51,175.6,620.6,141.9,122,721,17,
52,178.6,631.0,141.9,122,721,17,
53,182.1,643.3,142.3,121,718,18,
54,185.6,655.7,143.2,119,710,17,
55,188.6,666.3,141.9,122,721,18,
56,192.1,679.0,140.0,128,738,18,
57,195.6,691.6,139.1,130,747,18,
58,199.1,704.0,139.3,129,745,18,
59,202.6,716.3,141.5,124,725,17,
60,206.1,728.7,142.9,120,712,17,
61,209.6,741.0,142.0,122,720,17,
62,213.1,753.3,143.1,119,711,18,
63,216.6,765.6,143.1,119,711,17,
64,220.1,778.0,141.7,123,723,17,
65,223.6,790.1,141.7,123,723,17,
66,227.1,802.4,143.9,117,704,16,
67,230.6,814.9,141.3,124,726,17,
68,233.6,825.3,141.3,124,726,17,
69,237.1,837.7,141.9,122,721,18,
70,240.6,850.2,142.1,122,719,18,
71,244.1,862.7,140.9,125,730,17,
72,247.6,875.1,140.9,125,730,17,
73,251.1,887.4,141.3,124,726,17,
74,254.6,899.9,142.5,121,716,17,
75,258.1,912.4,140.6,126,733,18,
76,261.6,925.1,140.6,126,733,18,
77,264.6,935.6,140.6,126,733,18,
78,268.1,948.0,140.5,126,734,18,
79,271.6,960.3,142.0,122,720,17,
80,275.1,972.6,142.6,121,715,17,
81,278.6,985.0,143.0,120,711,18,
82,282.1,997.4,141.9,122,721,17,
83,285.6,1010.0,139.9,128,739,18,
84,289.1,1022.4,141.6,123,724,17,
85,292.1,1032.8,141.6,123,724,17,
86,295.6,1045.1,143.1,119,711,18,
87,299.1,1057.7,141.7,123,723,18,
