Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.9,2.7,0.0,,,,
2,3.4,11.1,170.4,71,543,,
3,6.9,22.5,155.5,93,620,19,
4,10.4,33.9,155.5,93,620,19,
5,14.4,47.0,154.0,96,629,16,
6,17.9,58.3,154.0,96,629,16,
7,21.4,69.7,154.2,95,628,17,
8,24.9,81.0,154.2,95,628,17,
9,28.4,92.3,154.5,95,626,17,
10,31.9,103.7,155.0,94,623,17,
11,35.4,114.8,155.3,93,621,17,
12,38.9,126.1,156.4,91,614,17,
13,42.9,139.2,155.2,94,622,16,
14,46.4,150.5,155.2,94,622,16,
15,49.9,162.2,153.8,96,631,17,
16,53.4,173.7,151.9,100,643,18,
17,56.9,186.1,142.8,120,713,17,
18,60.4,198.3,143.2,119,710,17,
19,63.4,208.6,143.2,119,710,17,
20,66.9,220.7,143.7,118,705,17,
21,70.9,234.7,146.0,112,687,17,
22,74.4,246.6,146.7,111,681,17,
23,77.9,258.5,146.7,111,681,17,
24,81.4,270.3,147.0,110,679,16,
25,85.4,284.3,145.8,113,688,17,
26,88.4,294.5,145.8,113,688,17,
27,91.9,306.7,144.7,116,697,17,
28,95.9,320.9,143.0,120,711,17,
29,99.4,333.2,143.7,118,705,17,
30,102.9,345.3,144.1,117,702,17,
31,106.4,357.5,144.4,116,700,17,
32,109.9,369.6,144.2,117,701,17,
33,113.4,381.5,144.2,117,701,17,
34,116.9,393.5,146.4,112,683,16,
35,120.4,405.6,145.9,113,687,17,
36,124.4,419.6,144.7,116,697,17,
37,127.9,431.7,144.7,116,697,17,
38,131.4,443.6,145.4,114,691,17,
39,134.9,455.6,146.1,112,686,16,
40,138.4,467.7,146.1,112,686,17,
41,141.9,479.8,145.3,114,692,17,
42,145.4,491.9,145.0,115,695,17,
43,149.4,506.0,143.8,118,705,17,
44,152.9,518.3,142.8,120,713,17,
45,156.4,530.6,142.8,120,713,17,
46,159.9,543.0,143.2,119,710,17,
47,163.4,555.5,141.2,124,727,17,
48,166.9,568.0,140.2,127,737,18,
49,170.4,580.6,139.7,128,741,17,
50,173.9,593.0,140.1,127,738,17,
51,178.0,607.3,142.9,120,712,17,
52,181.5,619.6,142.5,121,716,17,
53,185.0,632.0,141.8,123,722,17,
54,188.5,644.4,141.8,123,722,17,
55,192.0,656.7,141.3,124,726,17,
56,195.5,668.9,142.6,121,715,17,
57,199.5,683.2,142.5,121,716,17,
58,203.0,695.5,142.1,122,719,17,
59,206.5,707.8,142.1,122,719,17,
60,210.0,720.2,141.8,123,722,17,
61,213.5,732.6,142.3,121,718,17,
62,217.0,744.8,142.9,120,712,17,
63,220.5,757.2,142.9,120,712,17,
64,224.0,769.4,142.4,121,717,17,
65,227.5,781.7,142.6,121,715,17,
66,231.0,794.2,142.0,122,720,17,
67,234.5,806.5,141.9,122,721,17,
68,238.5,820.7,143.4,119,708,17,
69,241.5,831.0,143.4,119,708,17,
70,245.5,845.2,142.8,120,713,17,
71,249.0,857.6,141.8,123,722,17,
72,252.5,870.0,141.8,123,722,17,
73,256.0,882.2,141.1,125,728,17,
74,259.5,894.4,142.8,120,713,17,
75,263.0,906.6,144.0,117,703,17,
76,266.5,918.9,143.3,119,709,17,
77,270.5,933.2,142.4,121,717,17,
78,274.0,945.5,142.9,120,712,17,
79,277.5,957.8,142.9,120,712,17,
80,281.0,970.2,141.6,123,724,16,
81,284.5,982.7,140.1,127,738,17,
82,288.5,996.9,142.4,121,717,16,
83,292.0,1009.1,142.4,121,717,16,
84,295.5,1021.4,142.8,120,713,16,
85,299.5,1035.6,143.1,119,711,17,
