"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.358280417E-1,1.960143819E-2,7.737033814E-2,-1.040612832E-1
7.458810417E-1,2.835811488E-2,4.179019853E-2,-9.733971208E-2
7.559340417E-1,3.889464587E-2,4.324641451E-2,-8.834088594E-2
7.659880417E-1,3.897118568E-2,6.466306746E-2,-7.208208740E-2
7.760410417E-1,3.426324949E-2,8.386579156E-2,-4.472530261E-2
7.860940417E-1,2.419986017E-2,9.727589786E-2,-2.269709855E-2
7.961480417E-1,5.981707014E-3,1.159302816E-1,-1.430308074E-2
8.062010417E-1,-1.592546329E-2,1.534135938E-1,-1.595013589E-2
8.162550417E-1,-3.930855170E-2,1.974952966E-1,-3.179967031E-2
8.263080417E-1,-6.933874637E-2,2.426732183E-1,-5.049887300E-2
8.363610417E-1,-9.807345271E-2,2.751544714E-1,-6.731407344E-2
8.464150417E-1,-1.222182363E-1,3.058008552E-1,-8.465460688E-2
8.564680417E-1,-1.353199333E-1,3.190173209E-1,-9.000649303E-2
8.665210417E-1,-1.550386548E-1,3.133105636E-1,-9.448298812E-2
8.765750417E-1,-1.810832918E-1,3.058859408E-1,-9.829157591E-2
8.866280417E-1,-2.021168172E-1,2.920888066E-1,-1.097995937E-1
8.966810417E-1,-2.184302807E-1,2.713505030E-1,-1.221686453E-1
9.067350417E-1,-2.275688648E-1,2.364874184E-1,-1.356564313E-1
9.167880417E-1,-2.304645181E-1,2.081021219E-1,-1.482728869E-1
9.268410417E-1,-2.269225866E-1,1.711421162E-1,-1.665425152E-1
9.368950417E-1,-2.180904746E-1,1.431863755E-1,-2.014887780E-1
9.469480417E-1,-2.139988095E-1,1.024562865E-1,-2.419517338E-1
9.570010417E-1,-2.200833410E-1,8.522510529E-2,-2.648325264E-1
9.670550417E-1,-2.617796957E-1,6.536438316E-2,-2.845691144E-1
9.771080417E-1,-3.198749423E-1,2.106935531E-2,-3.214530945E-1
9.871610417E-1,-3.754299879E-1,-4.035933316E-2,-3.826477826E-1
9.972150417E-1,-4.343327284E-1,-1.032653227E-1,-4.525131583E-1
1.007268042E0,-5.074831843E-1,-1.679552346E-1,-5.001991987E-1
1.017321042E0,-5.671010017E-1,-2.441240400E-1,-5.247018933E-1
1.027375042E0,-6.208260059E-1,-3.020179868E-1,-5.411980748E-1
1.037428042E0,-6.692007184E-1,-3.194089830E-1,-5.666624308E-1
1.047482042E0,-7.161527872E-1,-2.791217268E-1,-6.074529886E-1
1.057535042E0,-7.400325537E-1,-1.526386291E-1,-6.670140624E-1
1.067588042E0,-7.113941908E-1,1.285675075E-2,-7.595521212E-1
1.077642042E0,-6.532757282E-1,1.968167275E-1,-8.567905426E-1
1.087695042E0,-5.707542896E-1,2.908552289E-1,-9.208841920E-1
1.097748042E0,-5.107263327E-1,2.810755670E-1,-9.573907852E-1
1.107802042E0,-4.822094738E-1,2.673727274E-1,-9.378272891E-1
1.117855042E0,-4.631588161E-1,2.389597297E-1,-8.498963714E-1
1.127908042E0,-4.460159540E-1,1.959136575E-1,-7.156156898E-1
1.137962042E0,-4.189901948E-1,1.438033283E-1,-5.830792189E-1
1.148015042E0,-3.815773427E-1,4.934772849E-2,-4.813415408E-1
1.158068042E0,-3.453588784E-1,-7.899239659E-2,-4.009774625E-1
1.168122042E0,-2.999590039E-1,-2.373535186E-1,-3.463295698E-1
1.178175042E0,-2.443287820E-1,-3.932656050E-1,-2.771534026E-1
1.188228042E0,-1.958417892E-1,-4.919690490E-1,-1.728287786E-1
1.198282042E0,-1.594851166E-1,-5.050449371E-1,-6.948053837E-2
1.208335042E0,-1.258745342E-1,-4.701694548E-1,2.064469084E-2
1.218388042E0,-1.023079529E-1,-4.094770849E-1,8.791560680E-2
1.228442042E0,-7.224815339E-2,-3.402542472E-1,1.263342947E-1
1.238495042E0,-3.178940713E-2,-2.644809186E-1,1.452155858E-1
1.248548042E0,2.073689923E-2,-1.546505094E-1,1.391175240E-1
1.258602042E0,6.089629978E-2,-3.492943570E-2,1.207763255E-1
1.268655042E0,9.292323142E-2,8.748113364E-2,1.014891341E-1
1.278709042E0,9.123212099E-2,2.386520058E-1,8.030261844E-2
1.288762042E0,8.060808480E-2,3.961405754E-1,4.424664006E-2
1.298815042E0,7.073415071E-2,5.074223280E-1,-1.394083374E-3
1.308869042E0,7.014264911E-2,5.715396404E-1,-5.393361673E-2
1.318922042E0,5.536210909E-2,6.068726182E-1,-1.175911576E-1
1.328975042E0,5.780253932E-2,5.825561881E-1,-1.780258119E-1
1.339029042E0,8.629143983E-2,5.024243593E-1,-2.037266344E-1
1.349082042E0,8.043351024E-2,4.479908049E-1,-1.968941092E-1
1.359135042E0,4.703880474E-2,4.332368970E-1,-1.791526675E-1
1.369189042E0,4.989747703E-2,3.906541467E-1,-1.482620537E-1
1.379242042E0,3.512652218E-2,3.355791867E-1,-1.182277203E-1
1.389295042E0,8.455945645E-4,2.805751264E-1,-1.364232302E-1
1.399349000E0,-5.479679443E-3,1.979377717E-1,-1.219281703E-1
1.409402000E0,-4.037182033E-2,1.301605403E-1,-8.730956167E-2
1.419455000E0,-5.101994053E-2,5.521919951E-2,-8.513642102E-2
1.429509000E0,-5.780984834E-2,5.940689240E-3,-4.024963453E-2
1.439562000E0,-7.660883665E-2,3.491374850E-2,-2.658788487E-2
1.449615000E0,-5.194648728E-2,4.671659693E-2,-3.992916644E-2
1.459669000E0,-4.656689987E-2,9.112427384E-2,-4.764540866E-2
1.469722000E0,-2.106189728E-2,1.105261147E-1,-7.529326528E-2
1.479775000E0,-1.741996850E-3,1.148942336E-1,-9.316893667E-2
1.489829000E0,1.629413664E-2,1.422038674E-1,-1.025434285E-1
1.499882000E0,1.286105532E-2,2.061634064E-1,-9.932766110E-2
1.509935000E0,1.199546084E-2,2.611085474E-1,-9.372577071E-2
1.519989000E0,1.194592565E-2,3.052366078E-1,-9.381897748E-2
1.530042000E0,1.513403724E-3,3.380084336E-1,-8.470731974E-2
1.540096000E0,2.122132853E-2,3.561653495E-1,-7.200670242E-2
1.550149000E0,1.801238209E-2,3.544492126E-1,-5.152180046E-2
1.560202000E0,2.882242016E-2,3.693325818E-1,-5.112658814E-2
1.570256000E0,1.502949651E-2,3.812733293E-1,-6.149099395E-2
1.580309000E0,1.956565678E-2,3.520142436E-1,-5.814073980E-2
1.590362000E0,2.951374091E-2,3.238458633E-1,-5.216804892E-2
1.600416000E0,-7.131451275E-5,3.282384872E-1,-5.102981254E-2
1.610469000E0,4.599694163E-3,3.024282753E-1,-4.343340546E-2
1.620522000E0,5.666822195E-3,2.862543762E-1,-1.820315048E-2
1.630576000E0,-2.690911479E-2,3.233489394E-1,-3.440363798E-3
1.640629000E0,-4.464257974E-3,3.189579248E-1,-1.615748927E-2
1.650682000E0,3.200415894E-2,3.192001283E-1,-3.049117699E-2
1.660736000E0,4.384510592E-2,3.276562095E-1,-5.362205952E-2
1.670789000E0,4.945250973E-2,2.976314127E-1,-6.762860715E-2
1.680842000E0,2.216522954E-2,3.125315309E-1,-4.942057654E-2
1.690896000E0,2.154753543E-3,3.667415380E-1,-2.349358983E-2
1.700949000E0,1.122388244E-2,4.249116182E-1,4.140168428E-3
1.711002000E0,-1.019245479E-3,5.331475735E-1,1.449271850E-2
1.721056000E0,-2.438443946E-3,5.989739895E-1,-1.984980889E-2
1.731109000E0,1.653140783E-2,5.899665356E-1,-4.878773913E-2
1.741162000E0,3.760899603E-2,5.696181059E-1,-5.233666673E-2
1.751216000E0,3.684076667E-2,5.897639990E-1,-5.303914100E-2
1.761269000E0,3.997131437E-2,6.222113967E-1,-3.242600709E-2
1.771322000E0,4.266281798E-2,6.605679393E-1,-1.088301186E-3
1.781376000E0,1.308974344E-2,6.894164085E-1,-3.711118479E-4
1.791429000E0,-5.677551962E-3,6.556544304E-1,-1.119863009E-4
1.801483000E0,1.364378259E-3,5.795724392E-1,3.793272888E-3
1.811536000E0,3.820732702E-3,5.223122835E-1,-7.934089517E-4
1.821589000E0,1.001710910E-2,4.980584085E-1,1.618668903E-4
1.831643000E0,4.281107709E-2,4.723832309E-1,1.385750249E-2
1.841696000E0,3.969757259E-2,4.865038395E-1,5.821591243E-2
1.851749000E0,2.990625054E-2,5.361974239E-1,1.095124036E-1
1.861803000E0,3.237207234E-2,5.468434095E-1,1.329194605E-1
1.871856000E0,3.112278134E-2,5.432586670E-1,1.414762884E-1
1.881909000E0,2.556343377E-2,5.197157860E-1,1.552690715E-1
1.891963000E0,1.194156054E-2,4.855054617E-1,1.596507132E-1
1.902016000E0,-1.882434264E-2,4.657490551E-1,1.667698771E-1
1.912069000E0,-3.057221323E-2,4.854997098E-1,1.641753912E-1
1.922123000E0,-2.333533950E-2,5.210536718E-1,1.598845124E-1
1.932176000E0,1.533763297E-2,6.002939343E-1,1.648324728E-1
1.942229000E0,5.364561081E-2,7.450343370E-1,1.441565007E-1
1.952283000E0,8.931409568E-2,8.557645082E-1,1.165725291E-1
1.962336000E0,1.179678440E-1,9.665168524E-1,1.389353722E-1
1.972389000E0,1.221529990E-1,1.074925661E0,1.956471205E-1
1.982443000E0,9.875233471E-2,1.206325173E0,2.366632521E-1
1.992496000E0,9.946208447E-2,1.258238554E0,2.757614255E-1
2.002549000E0,9.840267897E-2,1.275920868E0,3.008028567E-1
2.012603000E0,7.651200891E-2,1.303721428E0,2.927083373E-1
2.022656000E0,7.886970788E-2,1.307284474E0,2.615453601E-1
2.032709000E0,8.602765948E-2,1.287081361E0,2.184000164E-1
2.042763000E0,5.094797164E-2,1.321529984E0,1.825501472E-1
2.052816000E0,5.376041681E-2,1.333397508E0,1.695506424E-1
2.062869000E0,4.898723215E-2,1.368998885E0,2.123524398E-1
2.072923000E0,2.058856003E-2,1.388987422E0,3.127899766E-1
2.082976000E0,-1.877402514E-2,1.393893719E0,4.179036021E-1
2.093030000E0,-8.239515871E-2,1.359002113E0,5.248256922E-1
2.103083000E0,-1.271389276E-1,1.251175523E0,6.289366484E-1
2.113136000E0,-1.988642663E-1,1.140683055E0,7.114945650E-1
2.123190000E0,-2.365317494E-1,9.437058568E-1,7.820244431E-1
2.133243000E0,-3.001663387E-1,7.913922668E-1,8.250744939E-1
2.143296000E0,-3.707694113E-1,6.256645322E-1,8.369031549E-1
2.153350000E0,-4.642255902E-1,5.200672150E-1,8.480345607E-1
2.163403000E0,-5.271630287E-1,3.675420880E-1,8.563883305E-1
2.173456000E0,-5.633215904E-1,2.199448049E-1,8.644762635E-1
2.183510000E0,-5.584908724E-1,1.182714328E-1,8.691171408E-1
2.193563000E0,-5.528916717E-1,9.956622869E-2,8.658891916E-1
2.203616000E0,-5.609874129E-1,1.217841804E-1,8.706258535E-1
2.213670000E0,-5.788599253E-1,1.857935488E-1,8.819527030E-1
2.223723000E0,-6.188248992E-1,2.362572551E-1,9.310815930E-1
2.233776000E0,-6.374967098E-1,2.813602984E-1,9.979259968E-1
2.243830000E0,-6.529342532E-1,3.192821145E-1,1.078664064E0
2.253883000E0,-6.179828644E-1,3.256433606E-1,1.159366250E0
2.263936000E0,-6.270307302E-1,3.290101290E-1,1.165797234E0
2.273990000E0,-6.089568138E-1,3.226887882E-1,1.149354458E0
2.284043000E0,-5.774252415E-1,2.270975411E-1,1.129178882E0
2.294096000E0,-5.603024364E-1,1.806406081E-1,1.089576125E0
2.304150000E0,-5.736693740E-1,1.147175133E-1,1.055899143E0
2.314203000E0,-5.903890729E-1,2.709052525E-2,1.026851892E0
2.324256000E0,-5.771206617E-1,-4.593628272E-2,1.022467017E0
2.334310000E0,-5.706040263E-1,-8.472044021E-2,1.069884777E0
2.344363000E0,-5.716133118E-1,-6.563329697E-2,1.119115710E0
2.354416000E0,-5.950670838E-1,-2.780505456E-2,1.163692594E0
2.364470000E0,-6.356531382E-1,2.680466138E-2,1.183062911E0
2.374523000E0,-6.648792028E-1,5.630613118E-2,1.160040498E0
2.384576000E0,-7.356580496E-1,3.476301953E-2,1.121363163E0
2.394629875E0,-8.350580335E-1,1.945849694E-2,1.022091150E0
2.404682875E0,-9.442303777E-1,8.754987270E-3,9.185349345E-1
2.414736875E0,-1.039208770E0,1.030564494E-2,8.493657708E-1
2.424789875E0,-1.084970355E0,-1.783331484E-2,8.422865868E-1
2.434842875E0,-1.130032301E0,-3.704888001E-2,8.555148244E-1
2.444896875E0,-1.193754792E0,-1.268042438E-2,8.443439007E-1
2.454949875E0,-1.272376537E0,1.991789043E-2,7.991793156E-1
2.465002875E0,-1.290813684E0,-2.626078948E-2,7.512322664E-1
2.475056875E0,-1.315683842E0,-9.856071323E-2,7.300171852E-1
2.485109875E0,-1.339391589E0,-7.376854867E-2,7.649474740E-1
2.495162875E0,-1.364198208E0,-4.517163336E-2,8.418221474E-1
2.505216875E0,-1.438116670E0,9.668446146E-3,8.995253444E-1
2.515269875E0,-1.458253264E0,6.981387734E-2,9.356866479E-1
2.525322875E0,-1.471914768E0,1.192245707E-1,9.680094123E-1
2.535376875E0,-1.489052773E0,1.924477965E-1,9.850376248E-1
2.545429875E0,-1.535508156E0,2.346636951E-1,9.590566158E-1
2.555482875E0,-1.586149812E0,2.432800978E-1,9.260807633E-1
2.565536875E0,-1.630402684E0,2.515244186E-1,8.703615665E-1
2.575589875E0,-1.700470328E0,2.423764318E-1,7.914401889E-1
2.585642875E0,-1.797048211E0,2.408395112E-1,7.289842367E-1
2.595696875E0,-1.897229195E0,2.407943457E-1,6.644853354E-1
2.605749875E0,-1.970514655E0,2.027348578E-1,5.870722532E-1
2.615802875E0,-2.039326906E0,1.790900528E-1,5.223591924E-1
2.625856875E0,-2.102697372E0,1.295467317E-1,4.797981083E-1
2.635909875E0,-2.112854004E0,9.260889888E-2,4.356562793E-1
2.645962875E0,-2.094933510E0,1.260427684E-1,4.239399731E-1
2.656016875E0,-2.065694809E0,2.249348313E-1,4.025610387E-1
2.666069875E0,-2.049300909E0,3.469563425E-1,3.778772652E-1
2.676122875E0,-2.068090439E0,4.684446454E-1,3.725278676E-1
2.686176875E0,-2.107988358E0,5.206183791E-1,3.061267436E-1
2.696229875E0,-2.148418427E0,6.110851169E-1,2.139920443E-1
2.706282875E0,-2.159924269E0,7.027734518E-1,1.487928033E-1
2.716336875E0,-2.133395433E0,7.976876497E-1,1.234316230E-1
2.726389875E0,-2.088841438E0,9.133854508E-1,7.165045291E-2
2.736443875E0,-2.039787292E0,1.019300342E0,-5.495648831E-3
2.746496875E0,-2.000736237E0,1.135077596E0,-1.021915674E-1
2.756549875E0,-1.964610338E0,1.265597582E0,-2.039244324E-1
2.766603875E0,-1.902315497E0,1.411971569E0,-3.197325170E-1
2.776656875E0,-1.805317640E0,1.503990412E0,-4.384163916E-1
2.786709875E0,-1.631844044E0,1.465867519E0,-4.970512092E-1
2.796763875E0,-1.396428823E0,1.380573750E0,-4.427487254E-1
2.806816875E0,-1.213115454E0,1.334451318E0,-2.584124207E-1
2.816869875E0,-1.063068628E0,1.350557923E0,-1.081942022E-1
2.826923875E0,-9.103718400E-1,1.381024957E0,-4.503228515E-2
2.836976875E0,-7.980408072E-1,1.419184446E0,6.705419160E-3
2.847029875E0,-6.496121883E-1,1.438748837E0,2.106465027E-2
2.857083875E0,-5.196723342E-1,1.338695168E0,-9.987982921E-4
2.867136875E0,-4.090424776E-1,1.100132346E0,7.871924900E-3
2.877189875E0,-2.949100733E-1,7.528832555E-1,3.459396958E-2
2.887243875E0,-1.628069282E-1,2.867477834E-1,7.147821784E-2
2.897296875E0,-4.786638170E-2,-1.152280346E-1,1.348122060E-1
2.907349875E0,6.066435948E-2,-3.620194495E-1,2.188615650E-1
2.917403875E0,1.365457922E-1,-4.138320088E-1,3.440232575E-1
2.927456875E0,1.753999889E-1,-3.289568126E-1,4.188601971E-1
2.937509875E0,2.117716819E-1,-1.724400222E-1,4.012844563E-1
2.947563875E0,2.353046983E-1,-1.518782601E-2,3.627959192E-1
