"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.482053193E0,1.220897079E0,-2.327375412E-1,3.855878830E0,4.051241537E0
1.486823662E0,9.765216112E-1,-3.587621450E-1,3.899839401E0,4.036217547E0
1.491594131E0,6.561450958E-1,-4.824916124E-1,3.914352417E0,3.998184511E0
1.496364600E0,2.692775726E-1,-6.126371622E-1,3.880310059E0,3.937593282E0
1.501135120E0,-4.141831398E-2,-7.339650989E-1,3.835995674E0,3.905801205E0
1.505905589E0,-3.842351437E-1,-8.815835118E-1,3.771929741E0,3.892592980E0
1.510676058E0,-6.718522310E-1,-1.007133961E0,3.743165016E0,3.934080397E0
1.515446527E0,-9.868620634E-1,-1.093630552E0,3.752215385E0,4.031010396E0
1.520216995E0,-1.256505489E0,-1.136508226E0,3.832669258E0,4.190442773E0
1.524987464E0,-1.531957626E0,-1.109939456E0,3.967877388E0,4.395783290E0
1.529757933E0,-1.696657658E0,-1.026680470E0,4.107770920E0,4.561414465E0
1.534528454E0,-1.738843441E0,-9.616963863E-1,4.252437592E0,4.693789719E0
1.539298923E0,-1.617782116E0,-9.160200357E-1,4.401906967E0,4.778398961E0
1.544069391E0,-1.454920411E0,-8.622065783E-1,4.549021721E0,4.853224928E0
1.548839860E0,-1.242532849E0,-8.300240636E-1,4.691390038E0,4.923613339E0
1.553610329E0,-1.042008281E0,-8.061676025E-1,4.786031723E0,4.964049467E0
1.558380798E0,-8.764653206E-1,-7.962425947E-1,4.825863838E0,4.969019573E0
1.563151266E0,-7.715148926E-1,-7.865420580E-1,4.789516449E0,4.914605931E0
1.567921735E0,-7.147598267E-1,-7.511997223E-1,4.705801964E0,4.818688074E0
1.572692204E0,-7.012875080E-1,-7.309805751E-1,4.591569901E0,4.701983722E0
1.577462725E0,-7.095664740E-1,-7.235724926E-1,4.442164421E0,4.556299647E0
1.582233193E0,-7.372616529E-1,-7.072228789E-1,4.221912384E0,4.343761403E0
1.587003662E0,-7.127459049E-1,-6.911302805E-1,3.952460289E0,4.075243566E0
1.591774131E0,-6.671271324E-1,-6.938875318E-1,3.621964455E0,3.747687958E0
1.596544600E0,-5.979216099E-1,-6.814690232E-1,3.280614853E0,3.403578131E0
1.601315068E0,-4.670498371E-1,-6.793668866E-1,2.878258705E0,2.994002019E0
1.606085537E0,-3.631925583E-1,-6.294202209E-1,2.505688667E0,2.608937398E0
1.610856006E0,-2.127854824E-1,-5.643523932E-1,2.172371864E0,2.254544478E0
1.615626527E0,-4.733490944E-2,-5.286436677E-1,1.832824707E0,1.908127650E0
1.620396995E0,5.186414719E-2,-4.997711182E-1,1.532279015E0,1.612556988E0
1.625167464E0,1.064145565E-1,-4.625006914E-1,1.258556366E0,1.345063223E0
1.629937933E0,8.042359352E-2,-4.162092209E-1,1.052069664E0,1.134261278E0
1.634708402E0,-2.155160904E-2,-3.913005590E-1,9.030609131E-1,9.844285714E-1
1.639478870E0,-1.903636456E-1,-3.848932981E-1,7.541532516E-1,8.678296466E-1
1.644249339E0,-3.616526127E-1,-4.397133589E-1,6.315994263E-1,8.503283398E-1
1.649019808E0,-4.879775047E-1,-4.767687321E-1,5.425043106E-1,8.716314565E-1
1.653790329E0,-5.457694530E-1,-5.058200359E-1,5.393114090E-1,9.190076172E-1
1.658560798E0,-6.308294535E-1,-4.890336990E-1,5.908308029E-1,9.930663602E-1
1.663331266E0,-6.713856459E-1,-4.604587555E-1,6.826438904E-1,1.062442296E0
1.668101735E0,-6.838595867E-1,-4.252800941E-1,7.716493607E-1,1.115333954E0
1.672872204E0,-7.228305340E-1,-3.721115589E-1,8.745508194E-1,1.194064541E0
1.677642673E0,-7.043159008E-1,-3.183616400E-1,9.626979828E-1,1.234585934E0
1.682413141E0,-6.616921425E-1,-2.598791122E-1,1.103007317E0,1.312249513E0
1.687183610E0,-6.187120676E-1,-2.139565945E-1,1.185637474E0,1.354370063E0
1.691954131E0,-5.203572512E-1,-2.145278454E-1,1.232298851E0,1.354752495E0
1.696724600E0,-4.071402550E-1,-2.070262432E-1,1.262219429E0,1.342319239E0
1.701495068E0,-2.718749046E-1,-2.540981770E-1,1.273156166E0,1.326426956E0
1.706265537E0,-2.004320621E-1,-2.938365936E-1,1.262817383E0,1.311953009E0
1.711036006E0,-1.545240879E-1,-3.623106480E-1,1.195548058E0,1.258762034E0
1.715806475E0,-1.842527390E-1,-4.283484221E-1,1.092998505E0,1.188308535E0
1.720576943E0,-2.275264263E-1,-4.463646412E-1,9.958372116E-1,1.114765186E0
1.725347412E0,-2.609338760E-1,-4.425759315E-1,9.351711273E-1,1.067007488E0
1.730117933E0,-3.231921196E-1,-4.502093792E-1,8.895177841E-1,1.048037938E0
1.734888402E0,-4.143649340E-1,-4.711846113E-1,8.516359329E-1,1.057826545E0
1.739658870E0,-4.794532061E-1,-4.978865385E-1,7.665376663E-1,1.032156178E0
1.744429339E0,-5.375692844E-1,-4.844706059E-1,6.795845032E-1,9.927374278E-1
1.749199808E0,-6.627173424E-1,-4.735261202E-1,5.883007050E-1,1.004748218E0
1.753970277E0,-8.141306639E-1,-4.335578680E-1,5.283842087E-1,1.063000957E0
1.758740745E0,-8.839715719E-1,-4.192390442E-1,4.709520340E-1,1.085800596E0
1.763511214E0,-8.958585262E-1,-4.302703142E-1,4.086694717E-1,1.074572371E0
1.768281735E0,-8.735991716E-1,-4.043089151E-1,3.485937119E-1,1.023796263E0
1.773052204E0,-8.028718233E-1,-4.153400660E-1,2.906665802E-1,9.495249317E-1
1.777822673E0,-7.816557884E-1,-4.201712608E-1,2.563199997E-1,9.237042829E-1
1.782593141E0,-7.575472593E-1,-4.284206629E-1,2.574815750E-1,9.075895967E-1
1.787363610E0,-7.354915142E-1,-4.019602537E-1,2.750091553E-1,8.821280227E-1
1.792134079E0,-7.826423645E-1,-3.983268738E-1,3.256788254E-1,9.366216239E-1
1.796904548E0,-8.512922525E-1,-3.962018490E-1,3.760862350E-1,1.011491602E0
1.801675068E0,-9.105578661E-1,-4.195917845E-1,4.143772125E-1,1.084841632E0
1.806445537E0,-9.628857374E-1,-4.281406403E-1,4.263362885E-1,1.136756782E0
1.811216006E0,-9.892157316E-1,-4.482737780E-1,4.263858795E-1,1.166748500E0
1.815986475E0,-9.922102690E-1,-4.060535431E-1,4.241657257E-1,1.152942870E0
1.820756943E0,-9.720391035E-1,-3.663320541E-1,4.579563141E-1,1.135245867E0
1.825527412E0,-9.407793283E-1,-3.125593662E-1,4.871501923E-1,1.104569786E0
1.830297881E0,-9.294357300E-1,-2.425389290E-1,5.117874146E-1,1.088394352E0
1.835068350E0,-8.996549845E-1,-2.231605053E-1,4.936771393E-1,1.050188945E0
1.839838818E0,-8.704533577E-1,-1.924612522E-1,5.284233093E-1,1.036321174E0
1.844609339E0,-8.751518726E-1,-2.006430626E-1,5.705404282E-1,1.063797358E0
1.849379808E0,-9.468812943E-1,-2.333879471E-1,6.199960709E-1,1.155616393E0
1.854150277E0,-1.066290140E0,-2.667958736E-1,6.624441147E-1,1.283349877E0
1.858920745E0,-1.199828625E0,-2.961380482E-1,7.671298981E-1,1.454570298E0
1.863691214E0,-1.335378885E0,-3.237195015E-1,8.264427185E-1,1.603445867E0
1.868461683E0,-1.463320136E0,-3.565378189E-1,8.714666367E-1,1.740080210E0
1.873232152E0,-1.526296139E0,-3.992955685E-1,9.045925140E-1,1.818599591E0
1.878002620E0,-1.610436440E0,-4.279975891E-1,9.401550293E-1,1.913263950E0
1.882773141E0,-1.677468300E0,-4.569337368E-1,9.829006195E-1,1.997193522E0
1.887543610E0,-1.698968053E0,-5.146470070E-1,9.994106293E-1,2.037197976E0
1.892314079E0,-1.720461845E0,-5.604741573E-1,1.001695633E0,2.068215265E0
1.897084548E0,-1.765846848E0,-6.014862061E-1,9.682855606E-1,2.101803434E0
1.901855016E0,-1.756267786E0,-6.043126583E-1,9.589395523E-1,2.090271607E0
1.906625485E0,-1.784952521E0,-5.834512711E-1,9.640779495E-1,2.110904352E0
1.911395954E0,-1.784985542E0,-6.059021950E-1,1.005183220E0,2.136278110E0
1.916166475E0,-1.789690018E0,-5.977010727E-1,1.022500038E0,2.146099546E0
1.920936943E0,-1.815643668E0,-6.211230755E-1,1.028041840E0,2.176976304E0
1.925707412E0,-1.802732706E0,-6.117117405E-1,9.931325912E-1,2.147172282E0
1.930477881E0,-1.824829102E0,-6.076619625E-1,9.703178406E-1,2.154244884E0
1.935248350E0,-1.791233540E0,-6.208395958E-1,9.428682327E-1,2.117300144E0
1.940018818E0,-1.764111400E0,-6.201591492E-1,9.036264420E-1,2.076831035E0
1.944789287E0,-1.731640816E0,-6.580526829E-1,8.860406876E-1,2.053455952E0
1.949559756E0,-1.765615702E0,-6.699430943E-1,8.089294434E-1,2.054407311E0
1.954330225E0,-1.765765190E0,-7.226207256E-1,7.488241196E-1,2.049596297E0
1.959100745E0,-1.815625191E0,-7.586765289E-1,6.984977722E-1,2.088057482E0
1.963871214E0,-1.829078913E0,-8.328731060E-1,6.483058929E-1,2.111754676E0
1.968641683E0,-1.884978175E0,-8.757472038E-1,5.719394684E-1,2.155734362E0
1.973412152E0,-1.945138931E0,-8.729050159E-1,5.410480499E-1,2.199604878E0
1.978182620E0,-2.038263798E0,-8.935413361E-1,4.814891815E-1,2.277008401E0
1.982953089E0,-2.111827850E0,-9.017252922E-1,4.864139557E-1,2.347237506E0
1.987723558E0,-2.201846600E0,-9.309880733E-1,4.793424606E-1,2.438162512E0
1.992494027E0,-2.265423298E0,-1.000504494E0,4.937858582E-1,2.525267597E0
1.997264548E0,-2.343124390E0,-1.048244238E0,4.819793701E-1,2.611771813E0
2.002035016E0,-2.472927570E0,-1.124544621E0,4.607086182E-1,2.755399028E0
2.006805485E0,-2.540109634E0,-1.177006721E0,3.966417313E-1,2.827512412E0
2.011575954E0,-2.580826998E0,-1.203484297E0,3.639907837E-1,2.870806809E0
2.016346423E0,-2.585736513E0,-1.244793177E0,3.723287582E-1,2.893816178E0
2.021116891E0,-2.538254738E0,-1.265283346E0,3.619651794E-1,2.859142853E0
2.025887360E0,-2.514746904E0,-1.291238308E0,3.138122559E-1,2.844244450E0
2.030657829E0,-2.481378078E0,-1.303506374E0,2.326536179E-1,2.812559998E0
2.035428350E0,-2.447621346E0,-1.297227144E0,1.758022308E-1,2.775708007E0
2.040198818E0,-2.408737659E0,-1.253255367E0,1.336336136E-1,2.718551833E0
2.044969287E0,-2.400743008E0,-1.231198788E0,1.156454086E-1,2.700516859E0
2.049739756E0,-2.373446226E0,-1.230935335E0,9.550285339E-2,2.675363449E0
2.054510225E0,-2.288471222E0,-1.225990057E0,1.486778259E-3,2.596180726E0
2.059280693E0,-2.179117680E0,-1.247312307E0,-1.090230942E-1,2.513210673E0
2.064051162E0,-2.059679508E0,-1.270733118E0,-1.978998184E-1,2.428210591E0
2.068821631E0,-2.011555672E0,-1.262725592E0,-2.317714691E-1,2.386325660E0
2.073592100E0,-2.003920078E0,-1.232743740E0,-2.489624023E-1,2.365868781E0
2.078362620E0,-2.022665024E0,-1.202243328E0,-2.542648315E-1,2.366688282E0
2.083133089E0,-1.998610020E0,-1.168841124E0,-2.667865753E-1,2.330623663E0
2.087903558E0,-1.945967913E0,-1.137456417E0,-2.411403656E-1,2.266880432E0
2.092674027E0,-1.873803735E0,-1.148789167E0,-2.825117111E-1,2.216003126E0
2.097444495E0,-1.805532455E0,-1.145526886E0,-3.621578217E-1,2.168717958E0
2.102214964E0,-1.760106206E0,-1.170764446E0,-4.202909470E-1,2.155297595E0
2.106985433E0,-1.752091765E0,-1.148140192E0,-4.282093048E-1,2.138086683E0
2.111755954E0,-1.810458660E0,-1.204504013E0,-4.336099625E-1,2.217342571E0
2.116526423E0,-1.885173202E0,-1.225193501E0,-4.913091660E-1,2.301382587E0
2.121296891E0,-1.907033563E0,-1.248529911E0,-5.653419495E-1,2.348449588E0
2.126067360E0,-1.957534790E0,-1.305558681E0,-6.054906845E-1,2.429618261E0
2.130837829E0,-2.017719507E0,-1.319829941E0,-6.619205475E-1,2.500256366E0
2.135608298E0,-2.071043491E0,-1.315218925E0,-7.083387375E-1,2.553579004E0
2.140378766E0,-2.107903004E0,-1.322675228E0,-7.400655746E-1,2.596232248E0
2.145149235E0,-2.075715065E0,-1.289493561E0,-8.336191177E-1,2.581919346E0
2.149919704E0,-2.034180641E0,-1.289559364E0,-9.125900269E-1,2.575592125E0
2.154690225E0,-1.923617005E0,-1.260464668E0,-9.866871834E-1,2.502523758E0
2.159460693E0,-1.789487600E0,-1.245104790E0,-1.039293766E0,2.415094893E0
2.164231162E0,-1.662910938E0,-1.231278658E0,-1.075347424E0,2.331885933E0
2.169001631E0,-1.620479703E0,-1.194995880E0,-1.082980156E0,2.286223007E0
2.173772100E0,-1.588171124E0,-1.184071302E0,-1.067006111E0,2.250069868E0
2.178542568E0,-1.568501711E0,-1.155510902E0,-1.008348465E0,2.193665811E0
2.183313037E0,-1.542003274E0,-1.142835855E0,-9.620499611E-1,2.146948536E0
2.188083506E0,-1.472279906E0,-1.127035856E0,-8.708124161E-1,2.048446291E0
2.192854027E0,-1.332399726E0,-1.129786730E0,-7.968378067E-1,1.920067076E0
2.197624495E0,-1.226849437E0,-1.113074064E0,-7.114210129E-1,1.802834787E0
2.202394964E0,-1.172180653E0,-1.094017744E0,-6.144084930E-1,1.717084769E0
2.207165433E0,-1.156505823E0,-1.070478916E0,-5.749082565E-1,1.677483333E0
2.211935902E0,-1.113189459E0,-1.025984526E0,-5.830688477E-1,1.622283668E0
2.216706370E0,-1.142952442E0,-1.008475065E0,-5.885066986E-1,1.633922390E0
2.221476839E0,-1.176838160E0,-9.558975697E-1,-5.839500427E-1,1.624711011E0
2.226247308E0,-1.241583109E0,-9.353113174E-1,-5.668897629E-1,1.654599613E0
2.231017829E0,-1.296896935E0,-8.941106796E-1,-5.420780182E-1,1.665900400E0
2.235788298E0,-1.335758328E0,-9.207587242E-1,-5.190172195E-1,1.703357219E0
2.240558766E0,-1.363057256E0,-9.314012527E-1,-5.240240097E-1,1.732060778E0
2.245329235E0,-1.369183540E0,-9.428300858E-1,-5.641851425E-1,1.755533256E0
2.250099704E0,-1.361155033E0,-1.007439613E0,-6.204099655E-1,1.803492757E0
2.254870173E0,-1.315130472E0,-1.024632692E0,-6.856012344E-1,1.802634008E0
2.259640641E0,-1.288511515E0,-1.008628845E0,-7.120923996E-1,1.784564276E0
2.264411110E0,-1.202626467E0,-1.016590834E0,-7.358827591E-1,1.738186059E0
2.269181631E0,-1.112618566E0,-9.622917175E-1,-7.332100868E-1,1.643630875E0
2.273952100E0,-1.056393385E0,-9.196486473E-1,-8.189144135E-1,1.622449209E0
2.278722568E0,-9.499860406E-1,-9.026522636E-1,-9.118399620E-1,1.596466944E0
2.283493037E0,-8.267934918E-1,-9.275827408E-1,-1.038476944E0,1.619392350E0
2.288263506E0,-6.676415801E-1,-9.535994530E-1,-1.100968838E0,1.602257650E0
2.293033975E0,-5.633763671E-1,-9.852161407E-1,-1.113939762E0,1.590253303E0
2.297804443E0,-4.969335794E-1,-1.015116215E0,-1.130141258E0,1.598318859E0
2.302574912E0,-4.920660555E-1,-1.071879864E0,-1.195002556E0,1.679013566E0
2.307345381E0,-5.223390460E-1,-1.114776611E0,-1.215358734E0,1.729931162E0
2.312115902E0,-5.877141953E-1,-1.158172607E0,-1.229509830E0,1.788425617E0
2.316886370E0,-6.118427515E-1,-1.194975615E0,-1.218324184E0,1.812907083E0
2.321656839E0,-6.427488923E-1,-1.244475365E0,-1.212785244E0,1.852752849E0
2.326427308E0,-6.590052843E-1,-1.275658369E0,-1.184197426E0,1.861159795E0
2.331197777E0,-6.390749812E-1,-1.281513214E0,-1.142100811E0,1.831689715E0
2.335968245E0,-6.452305317E-1,-1.274208069E0,-1.112679958E0,1.810520735E0
2.340738714E0,-6.489019394E-1,-1.253971815E0,-1.083843231E0,1.779953704E0
2.345509183E0,-6.120018363E-1,-1.213818550E0,-1.074595928E0,1.732817973E0
2.350279652E0,-5.585278869E-1,-1.175563335E0,-1.070399284E0,1.685128240E0
2.355050173E0,-4.456155896E-1,-1.158389568E0,-1.083130360E0,1.647304168E0
2.359820641E0,-3.189732730E-1,-1.131398678E0,-1.100693226E0,1.610382717E0
2.364591110E0,-1.789461970E-1,-1.077982426E0,-1.056150913E0,1.519711355E0
2.369361579E0,-8.560064435E-2,-1.043787956E0,-9.853024483E-1,1.437929651E0
2.374132048E0,2.089661360E-2,-9.907674789E-1,-9.334630966E-1,1.361400095E0
2.378902516E0,1.384139061E-1,-9.931359291E-1,-9.458894730E-1,1.378471718E0
2.383672985E0,2.314828932E-1,-1.024538040E0,-9.555931091E-1,1.420007294E0
2.388443506E0,3.697161078E-1,-1.077849865E0,-9.482011795E-1,1.482408786E0
2.393213975E0,4.218228459E-1,-1.119542122E0,-9.667677879E-1,1.538164176E0
2.397984443E0,4.286138415E-1,-1.137619495E0,-9.683032036E-1,1.554187581E0
2.402754912E0,3.998678327E-1,-1.189264774E0,-9.911637306E-1,1.598952947E0
2.407525381E0,3.643029928E-1,-1.228812218E0,-1.078428268E0,1.675023483E0
2.412295850E0,2.955384254E-1,-1.270390034E0,-1.122647285E0,1.720921476E0
2.417066318E0,2.318495512E-1,-1.311482191E0,-1.181293964E0,1.780223352E0
2.421836787E0,1.801511943E-1,-1.344683170E0,-1.259270191E0,1.851050700E0
2.426607308E0,1.404521465E-1,-1.388969421E0,-1.306480885E0,1.912029069E0
2.431377777E0,1.700963974E-1,-1.420273781E0,-1.366082191E0,1.977951200E0
2.436148245E0,1.925517321E-1,-1.440869331E0,-1.397544861E0,2.016509915E0
2.440918714E0,2.339927256E-1,-1.414863110E0,-1.453523159E0,2.041891228E0
2.445689183E0,2.370260805E-1,-1.411535740E0,-1.502971649E0,2.075460982E0
2.450459652E0,2.399112731E-1,-1.378163576E0,-1.579429626E0,2.109855494E0
2.455230120E0,2.927051485E-1,-1.374416351E0,-1.608873844E0,2.136158154E0
2.460000589E0,3.618121743E-1,-1.354864836E0,-1.608114719E0,2.133682198E0
2.464771058E0,4.376941621E-1,-1.340958118E0,-1.579648018E0,2.117789582E0
2.469541579E0,5.225932002E-1,-1.339994669E0,-1.556870461E0,2.119560095E0
2.474312048E0,5.758650303E-1,-1.318512678E0,-1.539776802E0,2.107370118E0
2.479082516E0,5.900607705E-1,-1.291024685E0,-1.540208817E0,2.094554761E0
2.483852985E0,6.176136136E-1,-1.250589848E0,-1.503076077E0,2.050526575E0
2.488623454E0,6.821388006E-1,-1.195105076E0,-1.459337234E0,2.005805237E0
2.493393923E0,7.907685637E-1,-1.174933910E0,-1.411284447E0,1.999377004E0
2.498164391E0,9.532046318E-1,-1.144807816E0,-1.385081291E0,2.034117545E0
2.502934860E0,1.121978045E0,-1.109724045E0,-1.373390675E0,2.092014372E0
2.507705381E0,1.266316652E0,-1.086540699E0,-1.366542816E0,2.156749365E0
2.512475850E0,1.317320704E0,-1.030018806E0,-1.371582508E0,2.162755455E0
2.517246318E0,1.358894825E0,-1.014422417E0,-1.381217480E0,2.187100755E0
2.522016787E0,1.333497167E0,-1.003948212E0,-1.350008011E0,2.146776266E0
2.526787256E0,1.327200890E0,-9.938831329E-1,-1.340083122E0,2.131921354E0
2.531557725E0,1.272941232E0,-9.843292236E-1,-1.310745716E0,2.075412666E0
2.536328193E0,1.199319005E0,-9.992461205E-1,-1.319311142E0,2.043878855E0
2.541098662E0,1.177768826E0,-1.019512653E0,-1.363315582E0,2.070066384E0
2.545869183E0,1.136277199E0,-1.042810440E0,-1.373396397E0,2.065138530E0
2.550639652E0,1.050533414E0,-1.030784607E0,-1.399880409E0,2.031207158E0
2.555410120E0,1.004189253E0,-1.024078846E0,-1.437983513E0,2.030992398E0
2.560180589E0,9.973469973E-1,-1.022509575E0,-1.473457336E0,2.052146044E0
2.564951058E0,1.030200005E0,-9.924530983E-1,-1.551787853E0,2.110526177E0
2.569721527E0,1.057766914E0,-9.790863991E-1,-1.680198669E0,2.213718273E0
2.574491995E0,1.073276639E0,-9.461145401E-1,-1.815858841E0,2.311795579E0
2.579262464E0,1.117387772E0,-9.194560051E-1,-1.947050095E0,2.425893412E0
2.584032985E0,1.163680553E0,-8.318324089E-1,-2.045361042E0,2.495916541E0
2.588803454E0,1.247626781E0,-8.167691231E-1,-2.139730930E0,2.608089884E0
2.593573923E0,1.366747856E0,-7.734675407E-1,-2.239931583E0,2.735606923E0
2.598344391E0,1.528125048E0,-7.493929863E-1,-2.331830025E0,2.886899249E0
2.603114860E0,1.719826460E0,-7.156023979E-1,-2.384520531E0,3.025859879E0
2.607885329E0,1.901031494E0,-6.240549088E-1,-2.357637882E0,3.092219535E0
2.612655798E0,2.083808899E0,-5.202040672E-1,-2.294307709E0,3.142724878E0
2.617426266E0,2.237226248E0,-4.303154945E-1,-2.256679058E0,3.206704395E0
2.622196735E0,2.316203356E0,-3.998188972E-1,-2.204011917E0,3.222161024E0
2.626967204E0,2.311556339E0,-3.811106682E-1,-2.114629269E0,3.155977661E0
2.631737725E0,2.280878305E0,-4.103708267E-1,-1.990727425E0,3.055127778E0
2.636508193E0,2.185764790E0,-4.759368896E-1,-1.846467495E0,2.900607841E0
2.641278662E0,2.047595501E0,-5.687594414E-1,-1.676766872E0,2.706969114E0
2.646049131E0,1.918996572E0,-6.295971870E-1,-1.524347305E0,2.530331040E0
2.650819600E0,1.828650475E0,-7.329618931E-1,-1.422375202E0,2.429886193E0
2.655590068E0,1.690409899E0,-8.791630268E-1,-1.329938889E0,2.323607260E0
2.660360537E0,1.566055417E0,-9.848403931E-1,-1.261201859E0,2.238988677E0
2.665131006E0,1.461967826E0,-1.007399321E0,-1.127611160E0,2.103261811E0
2.669901527E0,1.363332510E0,-9.782257080E-1,-1.003258705E0,1.955026623E0
2.674671995E0,1.336821675E0,-9.405183792E-1,-9.191422462E-1,1.875230514E0
2.679442464E0,1.339499474E0,-8.989675045E-1,-8.585247993E-1,1.827420654E0
2.684212933E0,1.452764988E0,-7.865941525E-1,-7.760357857E-1,1.825236426E0
2.688983402E0,1.597829819E0,-7.179830074E-1,-6.813626289E-1,1.879578347E0
2.693753870E0,1.798889875E0,-6.379995346E-1,-6.080174446E-1,2.003180821E0
2.698524339E0,1.989681721E0,-5.153634548E-1,-5.369501114E-1,2.124323013E0
2.703294808E0,2.209254265E0,-4.550063610E-1,-5.399055481E-1,2.319338957E0
2.708065329E0,2.434370756E0,-3.610846996E-1,-5.714397430E-1,2.526477096E0
2.712835798E0,2.586655855E0,-3.097851276E-1,-6.029748917E-1,2.674010856E0
2.717606266E0,2.711827517E0,-2.483527660E-1,-6.202363968E-1,2.792916176E0
2.722376735E0,2.795502186E0,-2.148435116E-1,-6.472225189E-1,2.877479313E0
2.727147204E0,2.856621265E0,-2.019894123E-1,-6.719980240E-1,2.941541453E0
2.731917673E0,2.880702257E0,-2.168715000E-1,-7.113075256E-1,2.975136491E0
2.736688141E0,2.867603779E0,-2.784993649E-1,-7.484250069E-1,2.976718549E0
2.741458610E0,2.802766562E0,-3.224024773E-1,-7.809133530E-1,2.927331450E0
2.746229079E0,2.678713322E0,-3.653912544E-1,-8.183102608E-1,2.824649980E0
2.750999600E0,2.478164196E0,-4.267413616E-1,-8.342661858E-1,2.649416170E0
2.755770068E0,2.267286301E0,-4.277114868E-1,-8.048958778E-1,2.443641066E0
2.760540537E0,2.093276262E0,-4.211199284E-1,-7.397708893E-1,2.259736372E0
2.765311006E0,1.967197418E0,-4.310083389E-1,-6.508502960E-1,2.116421503E0
2.770081475E0,1.907598615E0,-4.313101768E-1,-5.452461243E-1,2.030333539E0
2.774851943E0,1.919036269E0,-4.221489429E-1,-4.444313049E-1,2.014554322E0
2.779622412E0,1.925096035E0,-3.988933563E-1,-3.387765884E-1,1.994963717E0
2.784392881E0,1.988422871E0,-3.425836563E-1,-2.735977173E-1,2.036183878E0
2.789163350E0,2.083453178E0,-2.414035797E-1,-2.105522156E-1,2.107933839E0
2.793933870E0,2.203763723E0,-1.863744259E-1,-1.352157593E-1,2.215760203E0
2.798704339E0,2.347744942E0,-1.296889782E-1,-8.102035522E-2,2.352719669E0
2.803474808E0,2.501901150E0,-8.809280396E-2,-8.853054047E-2,2.505016439E0
2.808245277E0,2.659724236E0,-7.589578629E-2,-8.837127686E-2,2.662273964E0
2.813015745E0,2.738022089E0,-5.953240395E-2,-1.355400085E-1,2.742021182E0
2.817786214E0,2.799013853E0,-4.597544670E-2,-1.894445419E-1,2.805794277E0
2.822556683E0,2.770535231E0,-3.032231331E-2,-2.190856934E-1,2.779349465E0
2.827327152E0,2.702187777E0,6.762504578E-3,-1.935472488E-1,2.709118869E0
2.832097673E0,2.550062895E0,3.205442429E-2,-1.082496643E-1,2.552560723E0
2.836868141E0,2.409049034E0,3.372669220E-2,8.430480957E-4,2.409285257E0
2.841638610E0,2.235632420E0,5.260777473E-2,1.121330261E-1,2.239060899E0
2.846409079E0,2.086898565E0,5.047059059E-2,1.921806335E-1,2.096336399E0
2.851179548E0,1.960496306E0,1.067733765E-2,2.267036438E-1,1.973589196E0
2.855950016E0,1.861589551E0,-4.521012306E-2,2.564058304E-1,1.879708371E0
2.860720485E0,1.790757537E0,-1.076354980E-1,3.028125763E-1,1.819366212E0
2.865490954E0,1.707896352E0,-1.145019531E-1,3.850183487E-1,1.754497015E0
2.870261423E0,1.622909069E0,-1.327576637E-1,4.551849365E-1,1.690754793E0
2.875031943E0,1.504943609E0,-7.175946236E-2,5.468282700E-1,1.602818095E0
2.879802412E0,1.408998966E0,-4.398679733E-2,6.384401321E-1,1.547520186E0
2.884572881E0,1.346966386E0,4.607009888E-2,7.157173157E-1,1.526005300E0
2.889343350E0,1.347450137E0,1.193215847E-1,7.524566650E-1,1.547918133E0
2.894113818E0,1.386247396E0,2.090566158E-1,7.272853851E-1,1.579344973E0
2.898884287E0,1.499026299E0,3.128304482E-1,7.358665466E-1,1.698953298E0
2.903654756E0,1.659273982E0,3.969225883E-1,7.471666336E-1,1.862524004E0
2.908425225E0,1.857170939E0,4.542107582E-1,7.348976135E-1,2.048283626E0
2.913195745E0,2.064088821E0,5.156643391E-1,7.373504639E-1,2.251678947E0
2.917966214E0,2.239412785E0,5.526440144E-1,7.425413132E-1,2.423169954E0
2.922736683E0,2.392816544E0,5.890555382E-1,7.576313019E-1,2.578092828E0
2.927507152E0,2.493400097E0,6.512348652E-1,7.849683762E-1,2.693942509E0
2.932277620E0,2.563019753E0,7.081675529E-1,7.982130051E-1,2.776277280E0
2.937048089E0,2.613793373E0,6.978371143E-1,8.260221481E-1,2.828640137E0
2.941818558E0,2.588552475E0,6.586458683E-1,8.348951340E-1,2.798476046E0
2.946589027E0,2.530558586E0,5.501811504E-1,8.582534790E-1,2.728190809E0
2.951359548E0,2.442209482E0,4.753661156E-1,9.032192230E-1,2.646916142E0
2.956130016E0,2.244420767E0,4.031302929E-1,9.649801254E-1,2.476110913E0
2.960900485E0,1.970437765E0,3.047766685E-1,1.007699966E0,2.234048573E0
2.965670954E0,1.655895233E0,2.208557129E-1,1.057729721E0,1.977260335E0
2.970441423E0,1.345833778E0,1.823050976E-1,1.124661446E0,1.763339750E0
2.975211891E0,1.097329617E0,1.721432209E-1,1.232419014E0,1.659102830E0
2.979982360E0,9.746215940E-1,1.780469418E-1,1.354743004E0,1.678367234E0
2.984752829E0,9.129991531E-1,1.925075054E-1,1.408071518E0,1.689169024E0
2.989523350E0,9.270803928E-1,2.128460407E-1,1.452269554E0,1.736049639E0
2.994293818E0,9.977323413E-1,2.387430668E-1,1.468296051E0,1.791189931E0
2.999064287E0,1.072300911E0,2.938220501E-1,1.463408470E0,1.837858806E0
