Time,aron_Arm_2_X (rad/s),aron_Arm_2_Y (rad/s),aron_Arm_2_Z (rad/s),aron_Arm_2_X (m/s^2),aron_Arm_2_Y (m/s^2),aron_Arm_2_Z (m/s^2),aron_Been_2_X (rad/s),aron_Been_2_Y (rad/s),aron_Been_2_Z (rad/s),aron_Been_2_X (m/s^2),aron_Been_2_Y (m/s^2),aron_Been_2_Z (m/s^2),aron_2_Distance (meters),aron_2_Pace (seconds),aron_Arm_1_HR (bpm)
00:00:00.000,0.0101680439899,0.011637637811599998,0.009862209810200001,2.3763982545,5.4516332703,7.745163848900001,0.028122533020500003,-0.0049351950873999986,-0.03918613884600001,-8.814435287500002,-4.5246110228,0.08553213501189999,2.8,195.2,113.0
00:00:00.100,-0.0043426686091999995,0.0072266711375000015,0.0087839943356,2.2564227448,5.4900883026,7.907112075800001,-0.0061408766088,0.036116398497,-0.05770197194,-8.6618875122,-4.490526901199999,0.020088226320200003,2.8,195.2,113.0
00:00:00.200,-0.02305186022333333,-0.0004300937148888895,-0.004965261737566667,2.2717508698999995,5.441379593,7.844781692700001,-0.006349898898009999,0.01691056716977,-0.057184344900999995,-8.611068191500001,-4.6595703736,-0.0751587066717,2.8,195.2,113.0
00:00:00.300,-0.02748499075,-0.026600286608599998,0.0025121551705450003,2.2908661195,5.4107832184,7.908998153699999,0.0035272614572000004,-0.014142561225799998,-0.042278581672,-8.796846862799999,-4.5832141570000005,-0.223051162723,2.8,195.2,113.0
00:00:00.400,-0.0045035363055,-0.0249594070477,0.008947793837000001,2.4323668671,5.382656707800001,7.86870195,0.0102295496616,-0.046627390524500004,-0.0098228328854,-8.6508704223,-4.479479873600001,0.003517684939000004,2.8,195.2,113.0
00:00:00.500,-0.0038184792616999994,-0.0156287909961,0.0109234302068,2.4111410065000003,5.4026551209,7.8230917968,-0.0302791255882,0.0062246419243,0.015954223788200002,-8.580647361090909,-4.372611652636364,-0.04392683549454545,2.8,195.2,113.0
00:00:00.600,-0.0028551828808,-0.018416107062449998,0.021470005159,2.3677163086,5.4020413971,7.8968583986,-0.185598682617,-0.142681873596,0.158496169754,-8.797625244199999,-3.8616546479,0.03824546814699999,2.8,195.2,113.0
00:00:00.700,-0.00342518525423,-0.034208815172,0.01535886116313,2.4215443724,5.3873868712999995,7.8975319978,-0.103356211269,0.061879071871999994,0.21150609702,-8.9427035522,-3.4856964570000004,-0.31650183105199997,2.8,195.2,113.0
00:00:00.800,-0.0005330980056800002,-0.020545477885400003,0.013136840146,2.4463028869000003,5.358287384,7.870602997000001,0.004234239155809999,0.19463974832699998,0.31246406734,-8.792026885999999,-4.4409200591,-0.23159838867000002,2.8,195.2,113.0
00:00:00.900,-0.00580544675547,-0.0116233746052,0.00442390933174,2.4776626740000003,5.3150872193,7.881709899799999,-0.06455780351580001,0.064355918113,0.189130321159,-8.984511612,-5.1960846864,0.005239105221000004,2.8,195.2,113.0
00:00:01.000,-0.00157687240281,-0.0150833497767,-0.0007059966447899998,2.4942930909000003,5.3479888,7.8967685853,-0.0661550670839,0.18274407685000002,-0.001141194439199998,-8.8536687012,-4.2232277526,-0.500005233782,2.8,195.2,113.0
00:00:01.100,0.0069943847136,-0.014291124267199997,0.0109042778616,2.5508305207,5.397161544899999,7.825531723,0.076724934207,0.09041875676500001,0.26526241153,-9.409163543800002,-1.9029178619,-1.1297007750999999,2.8,195.2,113.0
00:00:01.200,0.0064689594088,-0.0011329693203599998,-0.01410501888183,2.508782959,5.5128260192999985,7.8045154267,-0.03466703192172,0.0618063204833,0.48791799843999994,-8.611113098299999,-2.4700285491,-0.634410736084,2.8,195.2,113.0
00:00:01.300,-0.0023483531673,-0.018681129674,-0.053765748441999994,2.5795258483,5.9516085663,7.453240905700001,-0.10534914061600001,0.118503118308,0.53453676402,-9.089069183400001,-3.1256651457999998,-0.22158421325599997,2.8,195.2,113.0
00:00:01.400,-0.005217323684599999,0.0172212510287,-0.111218322075,2.9397367858888885,6.853714294555555,6.738453979666666,0.012911203570090912,0.08337963305181818,0.6059355356454545,-9.911384170400002,-3.076971405,-1.3327385559,2.8,195.2,113.0
00:00:01.500,-0.21465333196699996,-0.018355631645999997,-0.29716676772,2.2392684174,7.1870943603,7.316215850900001,0.0037333043070999993,-0.14454745651200002,0.51956784426,-9.5135863953,-2.1754710845,-0.7213499450899999,2.8,195.2,113.0
00:00:01.600,-0.96275126944,-0.1904152044036,-0.70082245467,1.4810202027000001,5.9055194091,8.9980135351,0.072587836349,-0.16354760528000004,0.6092669308199999,-9.3361453857,-1.30696215824,-0.59191410827,2.8,195.2,113.0
00:00:01.700,-0.7900367114669999,-0.40753285567299996,0.01015274228000001,3.5404675599999997,1.6960929566179999,7.6867553105,0.15222058444000003,-0.16575559825000002,0.7323605656800001,-10.0173338474,-0.8881630553600001,-0.6157445527000001,2.8,195.2,113.0
00:00:01.800,0.45655430332800007,0.37663525642,-0.21000879814900003,1.68922224429,3.4877621611,7.6352923278,0.04519545529040001,-0.28382062502899996,0.7079769969,-10.2375109862,0.11602372738400002,-0.27666966249,2.8,195.2,113.0
00:00:01.900,0.033226825043699997,0.4898936480300001,0.086495906029,2.739692779500001,7.0942424469,9.1281978144,0.015211430842999998,-0.138098613362,0.18822159059899995,-10.3043170625,-0.21157003781699996,0.16501684570099995,2.8,195.2,113.0
