Time,aron_Arm_2_X (rad/s),aron_Arm_2_Y (rad/s),aron_Arm_2_Z (rad/s),aron_Arm_2_X (m/s^2),aron_Arm_2_Y (m/s^2),aron_Arm_2_Z (m/s^2),aron_Been_2_X (rad/s),aron_Been_2_Y (rad/s),aron_Been_2_Z (rad/s),aron_Been_2_X (m/s^2),aron_Been_2_Y (m/s^2),aron_Been_2_Z (m/s^2),aron_2_Distance (meters),aron_2_Pace (seconds),aron_Arm_1_HR (bpm)
00:00:00.000,-0.00531735211835,-0.016606326681400004,0.008229987276999999,2.4453299103,5.3475696716000005,7.879255005,0.006803835612888889,0.005499312886444444,-0.0006249978004444438,-7.5630974579,-6.1478804169,-1.2749886475999999,,,113.0
00:00:00.100,-0.00490494706986,-0.0101542784369,0.00275565325282,2.4769741059000006,5.3199820404,7.8915743866,0.01108650401164,-0.0001701016199899999,0.0006056135517599995,-7.530989227299999,-6.158268814,-1.2646601258999999,,,
00:00:00.200,0.0018447245005499997,-0.022329655290000004,0.0023300269154300003,2.500235733,5.3682865906999995,7.862400055,0.0135221173058,-0.0090912065696,0.00200787461372,-7.5727823182,-6.1258013306,-1.2307256928,,,
00:00:00.300,0.0058410298899,-0.0062058031444,0.0023784245364699996,2.5381668550999996,5.4566328734,7.814694259599999,0.0115834013089,-0.016451626293400003,0.00024997764273999986,-7.572842193599999,-6.1311152801999995,-1.2347672881,,,
00:00:00.400,0.0054847616692,0.0009060525848399996,-0.031218619367,2.5319996794,5.6522460938000005,7.710241470300001,0.0022040959677,-0.044557963492,0.012493700348600001,-7.687683380199999,-6.0760747377,-1.3080698545999998,,,
00:00:00.500,-0.008295725344199999,-0.029136593640000003,-0.083064992351,2.6981840973,6.3608126222,7.0888087464,-0.081399285047,-0.175799042,0.047728161884999995,-7.870573059099999,-5.7977435304,-1.3900244293,,,
00:00:00.600,-0.036544096653,0.0886207160487,-0.16527678744000002,2.857407989555556,7.106688232444444,6.721888427888889,0.053363663431000005,0.060693697068,0.052814929375,-8.2050824432,-5.173990631000001,-1.2292288054499998,,,
00:00:00.700,-0.52340846359,-0.224691180706,-0.5247561275900001,1.8116975555000003,6.912026367200001,7.9946500397,0.15805638431999997,0.150567127026,0.11293866373400001,-8.482066452,-4.6922324524,-1.2826227722999999,,,
00:00:00.800,-1.2903347076,-0.3813405164436,-0.50844410805,1.5917299805999998,4.353037811199999,9.3870694896,0.143129745113,0.10187962800299999,0.27572132945000005,-7.966149307399999,-5.3341425933,-1.3370645599700002,,,
00:00:00.900,0.069793379681,0.07885272075699998,0.107251847181,3.3002471009699996,1.2448563079180002,7.113926513600001,0.0625562061113,0.14241171778,0.36058920622,-7.732634903,-6.150320343100001,-1.06614294434,,,
00:00:01.000,0.3638753515997,0.49348797203000005,-0.123109077468,2.9607530822199997,5.326553375200001,7.869225860599999,0.16283269022909092,0.20392589812727271,0.30414422397272733,-7.536486885727272,-6.414474667636363,-1.1952236106545457,,,113.0
00:00:01.100,-0.257244133946,0.33091382309499995,-0.032863785049,1.30497129829,6.6934508972,9.5753329919,-0.0963554051222,0.19647334068000002,0.28996614964,-8.5903662415,-3.7144806975,-0.91817564398,2.8,195.2,
00:00:01.200,-0.13405025975,0.22706142459759998,-0.206403301275,1.5715669097400002,4.4214006499,7.2350995333,-0.23184514495000003,0.20579956098,0.43029752970000007,-8.149203643799998,-3.9735319976,-1.67338517777,,,
00:00:01.300,0.04512479322222222,0.4431471162222222,-0.029074497700333338,1.5326927489300002,4.9092212218,9.0825726928,-0.15383042841000003,0.19306218476,0.48593647183,-8.6889212951,-4.8620842438,-1.7203425293000003,,,
00:00:01.400,-0.20063556358000004,0.55680784136,-0.19758426845000002,0.7104076996149999,5.606276687599999,8.2982786406,-0.095407196874,0.144216972236,0.52301956714,-8.4185086212,-4.0497684631999995,-2.6702671508,,,
00:00:01.500,0.089497101297,0.69156076316,-0.010199697313,0.5069058837600001,4.2550665434,7.6948684387,-0.027372621371100005,0.144283773005,0.60404064654,-8.4494043732,-2.8261529846999998,-2.2433249815,,,
00:00:01.600,0.058847711427999994,0.6047183304799999,-0.025028018644400008,-0.6128106535800002,4.6779371796,8.8585186158,-0.042470129952,0.021929200831700003,0.7907941997199999,-8.8775739899,-2.9284502564,-2.3270907899,,,
00:00:01.700,-0.058116913776,0.5033809542600001,0.19357146024400002,-0.23487657164899994,3.5111136017,7.948530944800001,0.0447735686359,-0.140759644651,0.8377916574499998,-9.398026703,-3.2293994294,-1.7706978148999997,,,
00:00:01.800,0.6057526245799999,1.1899460135200002,0.7807178467499999,-0.38529876719449996,2.4515120546,9.0523954469,0.20019665438,-0.8431324779799999,0.8371696651,-9.9386574544,-1.9825821991770003,-1.54186866758,,,
00:00:01.900,1.2440752981899998,1.18415340788,1.7050911067999999,-3.1951356812,4.0998243712999995,8.3933908539,0.125987240487,-0.18337822072600002,0.7403096616499999,-9.4532468721,-0.039457946787,-1.06313420103,,,
00:00:02.000,1.6710010529000001,1.5506507516,2.2216054318999996,-3.2387849121000003,7.341423431,7.091248672499999,0.086520340842,0.17877764442100003,0.67008683682,-10.651834395700002,-1.9418369293100004,-1.8127004699,,,112.0
00:00:02.100,0.97751694313,0.2652777470670001,2.6936603545000004,-1.9040854340100002,8.1917451784,6.3058768614,0.026004618408000002,-0.0404828540092,-0.04977019137330001,-11.053808487000001,-0.60959234627,-1.0502909087099999,,,
