"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717672844834052E9,"2024-06-06 13:20:44.834 UTC+02:00"
"PAUSE",2.755707599166635E2,1.717673120403967E9,"2024-06-06 13:25:20.404 UTC+02:00"
