"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717676115721481E9,"2024-06-06 14:15:15.721 UTC+02:00"
"PAUSE",3.006165142916652E2,1.717676416334138E9,"2024-06-06 14:20:16.334 UTC+02:00"
