"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718294085632730E9,"2024-06-13 17:54:45.633 UTC+02:00"
"PAUSE",3.006076434999704E2,1.718294386245707E9,"2024-06-13 17:59:46.246 UTC+02:00"
