Time,rikst_Arm_1_X (rad/s),rikst_Arm_1_Y (rad/s),rikst_Arm_1_Z (rad/s),rikst_Arm_1_X (m/s^2),rikst_Arm_1_Y (m/s^2),rikst_Arm_1_Z (m/s^2),rikst_Been_1_X (rad/s),rikst_Been_1_Y (rad/s),rikst_Been_1_Z (rad/s),rikst_Been_1_X (m/s^2),rikst_Been_1_Y (m/s^2),rikst_Been_1_Z (m/s^2),rikst_1_Distance (meters),rikst_1_Pace (seconds),rikst_Arm_1_HR (bpm)
00:00:00.000,-0.026212670234,0.299246637152,0.093106362973,-6.8071394807,6.1716509857999995,2.0006645966000005,-0.026212670234,0.299246637152,0.093106362973,-6.8071394807,6.1716509857999995,2.0006645966000005,,,104.0
00:00:00.100,0.0012906594220000011,0.52043416202,0.18786724433,-7.510541748000001,5.9884619293,1.9257753295,0.0012906594220000011,0.52043416202,0.18786724433,-7.510541748000001,5.9884619293,1.9257753295,,,
00:00:00.200,-0.089351229381,0.6151522010600001,0.50091452897,-6.430328063899999,5.9938507234,1.4184652862599998,-0.089351229381,0.6151522010600001,0.50091452897,-6.430328063899999,5.9938507234,1.4184652862599998,,,
00:00:00.300,-0.156730279325,1.05049903994,0.80222757459,-6.424789581200001,5.8236845857,1.1410322113400002,-0.156730279325,1.05049903994,0.80222757459,-6.424789581200001,5.8236845857,1.1410322113400002,,,
00:00:00.400,-0.7354660481299999,0.38620154559,0.7202651798699999,-7.610713439899999,6.6563280944,1.54047656253,-0.7354660481299999,0.38620154559,0.7202651798699999,-7.610713439899999,6.6563280944,1.54047656253,,,
00:00:00.500,-1.24278758747,0.36535971612000007,0.6134086132100001,-6.8407895051,7.2696476898,1.17140405273,-1.24278758747,0.36535971612000007,0.6134086132100001,-6.8407895051,7.2696476898,1.17140405273,,,
00:00:00.600,-1.7492422102999998,0.9271007896000001,0.8592307626299999,-7.048123351999999,7.2024673921,0.999770965519,-1.7492422102999998,0.9271007896000001,0.8592307626299999,-7.048123351999999,7.2024673921,0.999770965519,,,
00:00:00.700,-2.3455830813,1.503468454,1.7386614322,-7.1777986909000004,8.672829757699999,1.25897195436,-2.3455830813,1.503468454,1.7386614322,-7.1777986909000004,8.672829757699999,1.25897195436,,,
00:00:00.800,-2.3581255673,1.3963584305999999,2.3223929404999994,-6.1006685945,8.6262017212,0.8350385286200002,-2.3581255673,1.3963584305999999,2.3223929404999994,-6.1006685945,8.6262017212,0.8350385286200002,,,
00:00:00.900,0.978158336084,0.0834899496049,0.1983205400734,-10.6122716675,4.3974354857,-2.30694268818,0.978158336084,0.0834899496049,0.1983205400734,-10.6122716675,4.3974354857,-2.30694268818,2.7,0.0,
00:00:01.000,1.0448015510500002,-0.9393418371700001,-0.61890243291,-6.986915634000001,9.5403357694,2.6177413788000004,1.0448015510500002,-0.9393418371700001,-0.61890243291,-6.986915634000001,9.5403357694,2.6177413788000004,,,101.0
00:00:01.100,1.2998768092000001,-1.0682135104000001,-1.0630914211599998,-6.4830933381,9.1348439942,0.78942837526,1.2998768092000001,-1.0682135104000001,-1.0630914211599998,-6.4830933381,9.1348439942,0.78942837526,,,
00:00:01.200,1.04431763283,-1.5603738547,-0.9871283352499999,-6.672479507299999,8.180428711,1.3697416078300002,1.04431763283,-1.5603738547,-0.9871283352499999,-6.672479507299999,8.180428711,1.3697416078300002,,,
00:00:01.300,0.74571418162,-1.26499351851,-0.75489532352,-5.1590067902,7.9310473022,1.16644935612,0.74571418162,-1.26499351851,-0.75489532352,-5.1590067902,7.9310473022,1.16644935612,,,
00:00:01.400,0.65686621666,-0.53569567801,-0.92676519151,-5.803925674599999,7.412630356000001,1.7564175111,0.65686621666,-0.53569567801,-0.92676519151,-5.803925674599999,7.412630356000001,1.7564175111,,,
00:00:01.500,0.45157755313000003,-0.9920247733700001,-0.62784825563,-5.707870422299999,6.9590585633,2.3183639373,0.45157755313000003,-0.9920247733700001,-0.62784825563,-5.707870422299999,6.9590585633,2.3183639373,,,
00:00:01.600,0.20045053511999997,-0.58544628025,-0.30556378811,-5.7655454866,7.0641849517,2.423490326,0.20045053511999997,-0.58544628025,-0.30556378811,-5.7655454866,7.0641849517,2.423490326,,,
00:00:01.700,0.09803123176199999,-0.6999124914699999,-0.191311906295,-6.601512085,6.6978367768,2.8637547913,0.09803123176199999,-0.6999124914699999,-0.191311906295,-6.601512085,6.6978367768,2.8637547913,,,
00:00:01.800,0.106268671154,-0.41396277026100003,-0.16594309807,-5.918931518599999,6.8971622773000005,2.8969557495,0.106268671154,-0.41396277026100003,-0.16594309807,-5.918931518599999,6.8971622773000005,2.8969557495,,,
00:00:01.900,0.08523606985,-0.38550151810699995,-0.15902389288000002,-6.378505828700001,6.8630033111,3.3328043976000004,0.08523606985,-0.38550151810699995,-0.15902389288000002,-6.378505828700001,6.8630033111,3.3328043976000004,,,
00:00:02.000,0.05235360842329999,-0.5538637399599999,-0.098953767857,-5.679279876800001,7.198635360600001,3.5518439025999995,0.05235360842329999,-0.5538637399599999,-0.098953767857,-5.679279876800001,7.198635360600001,3.5518439025999995,,,100.0
00:00:02.100,-0.031568593159,-0.59671213626,-0.14092754498100002,-5.314683059800001,7.7322606811,3.4289195251000004,-0.031568593159,-0.59671213626,-0.14092754498100002,-5.314683059800001,7.7322606811,3.4289195251000004,,,
00:00:02.200,-0.138191818454,-0.6604562163300001,-0.25916630329,-4.5103456879,8.7217929382,3.5401232759,-0.138191818454,-0.6604562163300001,-0.25916630329,-4.5103456879,8.7217929382,3.5401232759,,,
