"event","experiment time","system time","system time text"
"START",0.000000000E0,1717580589.577,"2024-06-05 11:43:09.577 UTC+02:00"
"PAUSE",1.101723172E1,1717580600.594,"2024-06-05 11:43:20.594 UTC+02:00"
