"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.375068750E-1,-8.129893799E0,-4.570894775E0,-1.275796967E0
7.474518750E-1,-8.508606262E0,-4.511318665E0,-1.133892059E0
7.573968750E-1,-8.696016541E0,-4.298461304E0,-1.149309998E0
7.673408750E-1,-8.803343353E0,-4.012855225E0,-1.167272644E0
7.772858750E-1,-8.796008606E0,-3.808530121E0,-1.127455444E0
7.872308750E-1,-8.950786743E0,-3.602558441E0,-1.481020203E0
7.971758750E-1,-9.092841339E0,-3.425027618E0,-1.537602539E0
8.071198750E-1,-9.065747681E0,-3.369792480E0,-1.615590363E0
8.170648750E-1,-9.170380096E0,-3.495381317E0,-1.865570526E0
8.270098750E-1,-9.460027771E0,-3.684288483E0,-1.924248505E0
8.369548750E-1,-9.700427856E0,-3.844305725E0,-1.954186249E0
8.468988750E-1,-9.690847778E0,-3.818858643E0,-1.757794647E0
8.568438750E-1,-9.378148041E0,-3.568130035E0,-1.662891998E0
8.667888750E-1,-8.910071411E0,-3.358565826E0,-1.840572510E0
8.767338750E-1,-8.506061554E0,-3.140319672E0,-1.988464966E0
8.866778750E-1,-8.322692871E0,-2.957549744E0,-2.148931274E0
8.966228750E-1,-8.307723999E0,-2.851270752E0,-2.384691010E0
9.065678750E-1,-8.328979797E0,-2.736908569E0,-2.122136993E0
9.165128750E-1,-8.171806641E0,-2.751428375E0,-2.081571350E0
9.264568750E-1,-8.178692322E0,-2.867287445E0,-2.200274506E0
9.364018750E-1,-8.395740967E0,-2.899021454E0,-1.991758118E0
9.463468750E-1,-8.455766144E0,-2.825673981E0,-1.899849243E0
9.562918750E-1,-8.566984863E0,-2.724334717E0,-1.779798889E0
9.662358750E-1,-8.683592377E0,-2.578388214E0,-1.756597137E0
9.761808750E-1,-8.726553040E0,-2.368374939E0,-1.953737183E0
9.861258750E-1,-8.843010864E0,-2.163151703E0,-2.230062561E0
9.960708750E-1,-8.826844482E0,-2.097588043E0,-2.509082336E0
1.006014875E0,-8.778045959E0,-2.229014740E0,-2.808759155E0
1.015959875E0,-8.824599152E0,-2.409689026E0,-2.928210754E0
1.025904875E0,-9.119186554E0,-2.617606659E0,-2.641107788E0
1.035849875E0,-9.519304504E0,-2.807561646E0,-2.329006805E0
1.045793875E0,-9.823172607E0,-2.738854523E0,-2.517614594E0
1.055738875E0,-1.014036301E1,-2.578837280E0,-2.623594208E0
1.065683875E0,-1.021595581E1,-2.487527161E0,-2.049238586E0
1.075628875E0,-1.011431717E1,-2.420017548E0,-1.973795471E0
1.085572875E0,-1.004456223E1,-2.538571014E0,-2.177671509E0
1.095517875E0,-9.986782379E0,-2.669398956E0,-2.320324860E0
1.105462875E0,-9.801467743E0,-2.800825653E0,-2.068698120E0
1.115403833E0,-9.449100494E0,-2.867287445E0,-2.151026917E0
1.125347833E0,-9.288783875E0,-2.934048615E0,-2.286046143E0
1.135292833E0,-9.275760956E0,-2.949466553E0,-2.085612946E0
1.145237833E0,-9.389524384E0,-2.815345459E0,-2.228116608E0
1.155182833E0,-9.714348907E0,-2.622845764E0,-2.301314392E0
1.165126833E0,-9.929002533E0,-2.329156494E0,-2.264041901E0
1.175071833E0,-1.000968475E1,-1.895059204E0,-2.132615204E0
1.185016833E0,-9.983339539E0,-1.525028687E0,-2.048041077E0
1.194961833E0,-9.799671478E0,-1.050515442E0,-2.340083771E0
1.204905833E0,-9.638307037E0,-6.194119263E-1,-2.590363312E0
1.214850833E0,-9.418863373E0,-1.902543640E-1,-2.849175110E0
1.224795833E0,-8.884474640E0,-3.264710999E-1,-3.070564728E0
1.234740833E0,-8.669072571E0,-2.653981018E-1,-3.146456909E0
1.244684833E0,-8.645721130E0,1.357676697E-1,-3.113226013E0
1.254629833E0,-8.677604828E0,3.718267822E-1,-2.778971100E0
1.264574833E0,-8.690178680E0,6.761439514E-1,-2.698288879E0
1.274519833E0,-8.758885803E0,8.909472656E-1,-2.659818878E0
1.284463833E0,-9.148375854E0,1.056802368E0,-2.818339233E0
1.294408833E0,-9.679920502E0,8.419990540E-1,-2.622396698E0
1.304353833E0,-9.965526581E0,3.124003601E-1,-2.503394165E0
1.314298833E0,-1.026026367E1,-9.565109253E-2,-2.587668915E0
1.324242833E0,-1.033286270E1,-2.969824219E-1,-2.511028290E0
1.334187833E0,-1.027957352E1,2.918930054E-2,-2.660118256E0
1.344132833E0,-1.032178574E1,7.104226685E-1,-2.433339844E0
1.354077833E0,-1.007300308E1,1.140628052E0,-2.248474274E0
1.364022833E0,-9.734856262E0,1.463656311E0,-2.133812714E0
1.373966833E0,-9.634714508E0,1.604812775E0,-1.793270874E0
1.383911833E0,-9.306596832E0,1.455124054E0,-2.710263977E0
1.393856833E0,-9.032217407E0,9.680369568E-1,-3.495231628E0
1.403801833E0,-9.213640137E0,1.478924561E-1,-3.814068604E0
1.413745833E0,-9.606123962E0,-4.492158508E-1,-3.757785645E0
1.423690833E0,-1.018526962E1,-7.026388550E-1,-3.255729675E0
1.433635833E0,-1.070498886E1,-4.303550720E-1,-3.213816833E0
1.443580833E0,-1.113728989E1,1.434017944E-1,-3.305725708E0
1.453524833E0,-1.185190384E1,7.253915405E-1,-3.238964539E0
1.463469833E0,-1.277009445E1,1.548380127E0,-3.235821075E0
1.473414833E0,-1.296049850E1,1.932780762E0,-3.402873688E0
1.483359833E0,-1.246697479E1,1.599423981E0,-3.565285950E0
1.493303833E0,-1.131107849E1,1.289568329E0,-3.180885315E0
1.503248833E0,-9.617350616E0,9.684860229E-1,-2.840044098E0
1.513193833E0,-8.125702515E0,1.172511749E0,-2.471360779E0
1.523138833E0,-7.603588257E0,1.584904175E0,-1.701661377E0
1.533082833E0,-8.771309967E0,1.619781647E0,-1.752705231E0
1.543027833E0,-1.058598633E1,9.683363342E-1,-1.804497528E0
1.552972833E0,-1.077863571E1,7.997868347E-1,-1.199306030E0
1.562917833E0,-9.360933838E0,1.563199310E0,-1.601819000E0
1.572861833E0,-7.270530853E0,3.174149323E0,-2.859952698E0
1.582806833E0,-5.886808319E0,3.783232727E0,-3.059188385E0
1.592751833E0,-5.502257996E0,3.210074615E0,-1.998494110E0
1.602696833E0,-6.281088409E0,2.896476746E0,-7.033872986E-1
1.612641833E0,-7.150630188E0,2.474354553E0,-4.137396240E-1
1.622585833E0,-7.216343536E0,1.566043396E0,-6.978488159E-1
1.632530833E0,-7.625442810E0,8.331674194E-1,-1.159937897E0
1.642475833E0,-9.049281921E0,4.800517273E-1,-1.416055298E0
1.652420833E0,-1.086575455E1,6.945556641E-2,-1.611399078E0
1.662364833E0,-1.254556137E1,7.420069885E-1,-2.253264313E0
1.672309833E0,-1.416923492E1,2.136656799E0,-2.841391296E0
1.682254833E0,-1.472922043E1,2.663561096E0,-2.823728027E0
1.692199833E0,-1.337049591E1,2.251018982E0,-1.799108734E0
1.702143833E0,-1.071352112E1,1.636846161E0,-2.953358459E-1
1.712088833E0,-8.531957703E0,1.387315063E0,2.315684509E-1
1.722033833E0,-7.791447601E0,1.481618958E0,-1.703457642E-1
1.731978833E0,-7.847580872E0,1.372495880E0,-3.260220337E-1
1.741922833E0,-8.288414154E0,1.187929688E0,-3.448828125E-1
1.751867833E0,-9.107061768E0,1.078207855E0,-3.760180664E-1
1.761812833E0,-9.800270233E0,1.508263550E0,-3.591032410E-1
1.771757833E0,-1.037702087E1,2.478994904E0,-4.050576782E-1
