"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717670658297434E9,"2024-06-06 12:44:18.297 UTC+02:00"
"PAUSE",3.000101494583287E2,1.717670958306293E9,"2024-06-06 12:49:18.306 UTC+02:00"
