"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718294085973232E9,"2024-06-13 17:54:45.973 UTC+02:00"
"PAUSE",3.005614511249878E2,1.718294386535045E9,"2024-06-13 17:59:46.535 UTC+02:00"
