"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717670658206982E9,"2024-06-06 12:44:18.207 UTC+02:00"
"PAUSE",3.005961156666672E2,1.717670958802175E9,"2024-06-06 12:49:18.802 UTC+02:00"
