Time (s),X (rad/s),Y (rad/s),Z (rad/s)
147.11475330000002,-1.161565661,0.4564078152,1.055344582
147.12480630000002,-1.23268187,0.4176983833,1.091613293
147.1348603,-1.338829398,0.43022614719999996,1.115542412
147.1449133,-1.439278126,0.4151833057,1.116893053
147.1549673,-1.500534534,0.3308319449,1.0954200029999999
147.16502130000003,-1.523486137,0.2164037079,1.054437518
147.1750743,-1.546441793,0.1045698375,1.002219081
147.18512819999998,-1.551053882,-0.0113506699,0.976357162
147.1951813,-1.545180798,-0.1352110952,0.9914386272
147.2052353,-1.541209221,-0.1780914515,1.01006341
147.21528930000002,-1.5109725,-0.22047987579999997,1.019841075
147.22534219999997,-1.5064302680000001,-0.2033609748,1.0092363359999998
147.23539630000002,-1.533788919,-0.10530338439999999,0.9827581048
147.2454493,-1.548308969,0.001125586452,0.9607104659000001
147.25550330000002,-1.521268368,0.04356119409,0.9577226639
147.26555630000001,-1.5223011969999998,0.1410261244,0.939573586
147.2756102,-1.495598555,0.23176881670000002,0.9290564656
147.2856643,-1.477065921,0.3893755376,0.9464901090000001
147.2957173,-1.4806125159999999,0.5648309588,0.9477851987
147.30577130000003,-1.505231261,0.7467346787000001,0.9389219879999999
147.31582419999998,-1.549396634,0.9965519309,0.8847330809
147.3258783,-1.6102120880000002,1.216823459,0.7958903909
147.3359313,-1.6626697780000002,1.4283150430000002,0.6984946132
147.34598530000002,-1.7192170619999998,1.597216845,0.6189218163
147.35603930000002,-1.7802891730000001,1.718650103,0.5730547309
147.36609230000002,-1.814240813,1.7913678880000001,0.5421059728000001
147.37614630000002,-1.842400789,1.8352791069999999,0.5017625689999999
147.38619930000002,-1.85286057,1.85148859,0.4536370635
147.3962533,-1.8309534790000002,1.876395583,0.36870753770000003
147.4063072,-1.834028006,1.817412615,0.2483430207
147.4163603,-1.857499003,1.666321635,0.1379645765
147.4264143,-1.895891547,1.521895409,0.1032236293
147.43646730000003,-1.9186611180000002,1.3732327219999998,0.1208337843
147.44652119999998,-1.901904225,1.260878444,0.1390623301
147.4565743,-1.880927801,1.262945294,0.1773426086
147.4666283,-1.9018744230000002,1.261656165,0.2145515382
147.47668230000002,-1.897886395,1.218711138,0.2578955591
147.48673530000002,-1.8511134390000001,1.270181775,0.24985960129999998
147.4967892,-1.7978839869999999,1.421477556,0.18421801920000003
147.50684230000002,-1.7162786719999998,1.643768191,0.1282673776
147.5168963,-1.5877456669999999,1.916092634,0.1024030149
147.5269503,-1.407716751,2.187432766,0.09536345302999999
147.5370032,-1.217844009,2.490134954,0.1121797189
147.5470574,-1.049973488,2.8327562810000004,0.09809986502000001
147.5571104,-0.919903934,3.1661846639999998,0.06479037553
147.5671644,-0.8158874512000001,3.451936245,0.08230347931
147.57721740000002,-0.7368879318000001,3.68097496,0.1391569078
147.58727140000002,-0.6606094836999999,3.874326468,0.1826948971
147.5973254,-0.5641162395,3.969940424,0.1703993529
147.6073784,-0.4775055051,3.941106796,0.11339414119999999
147.6174324,-0.4094023407,3.796532154,0.01862768456
147.6274854,-0.3826567829,3.4806196689999997,-0.1124510542
147.6375394,-0.39652386310000004,2.9557850360000004,-0.2509588599
147.6475924,-0.4305775762,2.296283484,-0.3617322743
147.6576464,-0.4477709532,1.5814344880000002,-0.42374372479999994
147.6677004,-0.42579510810000004,0.8917187451999999,-0.3939183652
147.6777534,-0.3428962231,0.2295639366,-0.23056004940000002
147.6878074,-0.226910308,-0.43142414090000003,-0.09469061345
147.6978604,-0.123228386,-1.1083427670000001,-0.02672701329
147.70791440000002,-0.009818130173,-1.648012877,0.03526966646
147.71796840000002,0.09695332497000002,-1.939782977,0.130150646
147.72802140000002,0.19992357489999998,-1.987218261,0.2214339674
147.73807539999999,0.2914244533,-1.8856120109999999,0.27300235629999997
147.74812839999998,0.36481618880000005,-1.709553242,0.3096703291
147.7581824,0.4599400461,-1.5023976559999999,0.3228337765
147.7682354,0.5805842876,-1.244723558,0.2901169062
147.7782894,0.7086908817,-0.9262431264000001,0.24227268989999998
147.7883434,0.8001855016,-0.5463801026,0.2197046429
147.7983964,0.8344603776999999,-0.1437532902,0.22110174600000002
147.8084504,0.8277665377,0.237851724,0.2348812073
147.8185034,0.7951776981,0.5425724983,0.2613940537
147.8285574,0.7615219951000001,0.7258079051999999,0.2952268422
147.8386104,0.7240430713,0.7524871826,0.33729174729999994
147.84866440000002,0.680084765,0.6395908593999999,0.379735738
147.85871840000001,0.6285007,0.41345462200000005,0.4265546501
147.8687714,0.5743201375,0.11973861599999999,0.4772173464
147.87882539999998,0.5263587236,-0.1946637928,0.5198561549
147.8888784,0.5102276802,-0.5027757883,0.5565115213
147.8989324,0.5262117386,-0.8054720163,0.5751142502000001
147.9089864,0.5478975773,-1.086601377,0.575035274
147.9190394,0.5608724952,-1.341699719,0.5554879308
147.9290934,0.5795112252,-1.5606437919999998,0.5262222289999999
147.93914640000003,0.6072131395,-1.7345367669999998,0.4895670414
147.9492004,0.6369819641,-1.857835889,0.45092722770000004
147.9592534,0.6682637334,-1.924499393,0.4212931693
147.9693074,0.6959683895000001,-1.944380403,0.40086272359999997
147.97936140000002,0.7220553756,-1.917286992,0.3949659467
147.98941440000002,0.7445949912000001,-1.83448267,0.3971222043
147.9994684,0.7666568756000001,-1.723091125,0.3770808578
148.0095214,0.7967537045,-1.5794149640000001,0.35990065340000005
148.0195754,0.8250942826000001,-1.4199547769999998,0.3367599249
148.0296294,0.8518231511,-1.263734937,0.3037682176
148.0396824,0.8689315318999999,-1.114553213,0.2568089664
148.0497364,0.8883065581,-0.9681583643,0.1988243312
148.0597894,0.9051169753,-0.8314980268000001,0.13891465960000002
148.06984340000002,0.9172666669,-0.6962719559999999,0.08043100685
