"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.638612083E-1,-2.244248837E-1,-1.411693543E-1,7.879801393E-1
7.738082083E-1,-2.120475769E-1,-1.518923044E-1,8.117672205E-1
7.837552083E-1,-1.808289438E-1,-1.619132459E-1,8.236454725E-1
7.937022083E-1,-1.598994434E-1,-1.834953576E-1,8.393711448E-1
8.036492083E-1,-1.414384097E-1,-1.938752979E-1,8.498677015E-1
8.135972083E-1,-1.371092647E-1,-2.158542871E-1,8.638848662E-1
8.235442083E-1,-1.460004896E-1,-2.521997690E-1,8.751100898E-1
8.334912083E-1,-1.547606140E-1,-2.843545675E-1,8.873010278E-1
8.434382083E-1,-1.602182239E-1,-2.913405895E-1,8.945578933E-1
8.533852083E-1,-1.608446538E-1,-2.806541026E-1,8.913685083E-1
8.633332083E-1,-1.696911305E-1,-2.673646510E-1,8.847617507E-1
8.732802083E-1,-1.950464100E-1,-2.436387092E-1,8.761379123E-1
8.832272083E-1,-2.111124545E-1,-2.080586106E-1,8.581658602E-1
8.931742083E-1,-2.162103951E-1,-1.577769369E-1,8.388184905E-1
9.031212083E-1,-2.045257688E-1,-1.158787608E-1,8.064677119E-1
9.130692083E-1,-1.854973137E-1,-9.526672959E-2,7.709858418E-1
9.230162083E-1,-1.729538292E-1,-6.710380316E-2,7.470767498E-1
9.329632083E-1,-1.785756797E-1,-4.188320786E-2,7.225672007E-1
9.429102083E-1,-1.626617014E-1,-1.139400899E-2,7.068231106E-1
9.528572083E-1,-1.323806942E-1,2.036984637E-2,7.028813362E-1
9.628052083E-1,-1.162880212E-1,4.457318783E-2,6.924588084E-1
9.727522083E-1,-1.002934128E-1,6.263455749E-2,6.873831749E-1
9.826992083E-1,-7.903339714E-2,6.651957333E-2,6.708779335E-1
9.926462083E-1,-6.560085714E-2,6.829833984E-2,6.518706679E-1
1.002593208E0,-7.463163882E-2,3.316538408E-2,6.219910383E-1
1.012541208E0,-8.527256548E-2,-1.536646485E-2,6.080347300E-1
1.022488208E0,-1.015942767E-1,-6.500884891E-2,6.030631661E-1
1.032435208E0,-1.181639656E-1,-1.115017459E-1,5.900213122E-1
1.042382208E0,-1.267902255E-1,-1.526188254E-1,5.532161593E-1
1.052329208E0,-1.156031117E-1,-2.117284536E-1,5.141467452E-1
1.062277208E0,-8.468966931E-2,-2.955700755E-1,4.493629634E-1
1.072224208E0,-2.632837929E-2,-3.944035470E-1,3.867661059E-1
1.082171208E0,4.488002136E-2,-4.685699344E-1,3.595057130E-1
1.092118208E0,8.514422178E-2,-4.602997601E-1,3.599726558E-1
1.102065208E0,6.163650006E-2,-4.285322428E-1,4.016607404E-1
1.112013208E0,1.657925919E-2,-3.624589145E-1,4.289892912E-1
1.121960208E0,-3.132648394E-2,-2.981632948E-1,4.285573363E-1
1.131907208E0,-3.563627601E-2,-2.708196938E-1,4.319151938E-1
1.141854208E0,-3.708024323E-2,-2.804432809E-1,4.179993868E-1
1.151801208E0,-5.073006451E-2,-2.760920525E-1,4.030954540E-1
1.161749208E0,-1.038478762E-1,-2.666186392E-1,3.852743804E-1
1.171696208E0,-1.677951813E-1,-2.327130884E-1,3.847982287E-1
1.181643208E0,-1.787887067E-1,-2.086828500E-1,4.191679060E-1
1.191590208E0,-1.619916856E-1,-2.730871141E-1,4.367981553E-1
1.201538208E0,-1.070184484E-1,-4.088497162E-1,4.761780500E-1
1.211485208E0,-7.047852874E-2,-5.478658080E-1,5.081772804E-1
1.221432208E0,-7.049663365E-2,-5.969350934E-1,5.507846475E-1
1.231379208E0,-6.889077276E-2,-6.807620525E-1,5.963150859E-1
1.241326208E0,-5.051390082E-2,-7.702213526E-1,6.052247286E-1
