"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717676116020092E9,"2024-06-06 14:15:16.020 UTC+02:00"
"PAUSE",3.000072131666675E2,1.717676416022533E9,"2024-06-06 14:20:16.023 UTC+02:00"
