Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.1,1.8,249.0,23,378,,
2,2.9,5.5,249.0,23,378,,
3,3.6,7.3,253.9,21,373,21,
4,6.3,12.5,253.9,21,373,21,
5,9.3,17.8,259.2,20,369,22,
6,12.5,23.7,265.4,19,364,19,
7,15.5,31.5,199.3,44,452,19,
8,18.6,39.8,199.3,44,452,19,
9,21.7,48.4,182.1,58,499,19,
10,25.5,56.9,214.5,35,422,16,
11,28.8,64.2,235.1,27,392,18,
12,31.9,72.1,192.9,49,467,20,
13,35.1,79.8,207.9,39,434,19,
14,38.5,88.2,206.0,40,437,17,
15,41.8,96.4,203.9,41,442,18,
16,45.2,104.9,203.9,41,442,18,
17,48.7,113.6,195.9,47,460,18,
18,52.0,122.5,202.5,42,445,17,
19,55.5,132.2,184.0,56,493,18,
20,58.6,141.0,177.0,63,517,19,
21,61.7,150.1,170.0,71,545,19,
22,64.7,159.2,163.0,81,578,20,
23,67.8,168.7,167.2,75,557,19,
24,71.3,178.7,167.2,75,557,19,
25,74.5,188.4,165.8,77,564,19,
26,77.5,197.4,165.4,77,566,20,
27,80.6,206.9,164.8,78,569,19,
28,83.7,215.8,173.0,68,532,19,
29,86.8,224.2,173.0,68,532,19,
30,89.8,232.1,187.5,53,482,19,
31,92.6,239.9,179.8,60,507,21,
32,95.6,247.9,190.3,51,474,20,
33,98.4,255.2,188.1,53,480,22,
34,101.3,263.2,188.1,53,480,22,
35,104.5,272.3,184.8,55,490,20,
36,107.8,280.9,177.5,63,515,18,
37,110.9,290.1,167.2,75,557,20,
38,113.8,298.8,167.2,75,557,20,
39,116.7,307.7,161.7,83,584,21,
40,119.5,316.2,165.7,77,564,21,
41,123.0,326.2,165.7,77,564,21,
42,126.1,335.3,176.2,64,520,17,
43,129.4,345.0,173.1,67,532,18,
44,132.6,354.8,173.1,67,532,18,
45,135.7,364.5,160.2,85,592,19,
46,138.9,374.0,166.3,76,561,19,
47,142.1,383.4,168.3,73,552,19,
48,145.1,392.5,168.3,73,552,19,
49,148.2,402.0,166.8,75,559,19,
50,151.6,412.4,166.8,75,559,19,
51,154.8,422.1,161.6,83,585,19,
52,158.0,431.7,170.8,70,541,19,
53,161.1,440.7,170.8,70,541,19,
54,164.2,449.5,176.3,64,519,19,
55,168.0,459.7,188.6,52,479,16,
56,171.5,468.8,188.3,52,480,18,
57,174.6,477.3,188.3,52,480,18,
58,177.9,486.5,188.5,52,479,19,
59,181.0,495.6,170.7,70,542,19,
60,184.2,505.0,170.7,70,542,19,
61,187.1,513.8,171.6,69,538,20,
62,190.5,523.1,171.6,69,538,20,
63,193.8,532.8,175.2,65,523,18,
64,197.0,541.7,175.2,65,523,18,
65,200.1,550.8,170.5,71,543,19,
66,203.0,559.9,170.5,71,543,19,
67,206.2,569.4,167.2,75,557,19,
68,209.3,579.2,167.2,75,557,19,
69,212.9,589.7,170.7,70,542,17,
70,216.3,600.2,170.7,70,542,17,
71,219.3,609.7,154.4,95,627,20,
72,222.6,620.6,154.4,95,627,20,
73,226.0,631.4,156.3,92,615,18,
74,229.1,641.0,156.3,92,615,18,
75,232.6,651.6,164.0,79,573,19,
76,235.7,661.6,157.6,89,607,19,
77,238.7,671.1,157.8,89,606,20,
78,241.5,679.9,159.8,86,595,21,
79,244.4,688.8,159.8,86,595,21,
80,248.2,700.2,168.6,73,551,16,
81,251.5,710.1,169.1,72,549,18,
82,254.7,719.6,169.1,72,549,18,
83,257.9,729.5,164.9,78,568,19,
84,261.4,740.4,164.0,79,573,19,
85,264.6,750.6,157.1,90,610,19,
86,267.9,761.1,156.2,92,616,18,
87,271.1,771.4,153.0,98,636,19,
88,274.3,782.1,152.8,98,637,18,
89,277.6,793.0,153.5,97,633,18,
90,280.9,803.5,156.1,92,616,18,
91,284.2,813.7,162.1,82,582,18,
92,287.5,823.7,162.1,82,582,18,
93,290.9,834.0,165.9,77,563,17,
94,294.2,844.2,158.4,88,603,19,
95,297.2,853.3,166.5,76,560,20,
