Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.3,3.1,161.2,84,587,,
2,2.0,7.0,161.2,84,587,,
3,2.8,10.2,134.8,143,791,32,
4,5.5,20.7,134.8,143,791,32,
5,8.7,32.4,134.6,144,793,19,
6,11.8,44.1,134.6,144,793,19,
7,15.3,56.9,134.9,143,790,19,
8,18.7,69.5,135.6,140,783,18,
9,22.2,82.2,136.4,138,774,17,
10,25.5,94.7,136.4,138,774,17,
11,28.8,106.6,135.6,140,783,18,
12,32.0,118.7,133.5,147,806,19,
13,35.2,130.9,132.9,149,813,18,
14,38.7,144.0,133.3,148,808,17,
15,42.0,156.5,132.5,150,817,18,
16,45.2,168.6,133.3,148,808,19,
17,48.7,181.5,135.9,139,779,17,
18,52.1,194.4,134.4,144,796,18,
19,55.6,207.2,134.4,144,796,18,
20,59.0,219.9,133.8,146,802,18,
21,62.3,232.4,133.8,146,802,18,
22,65.8,245.1,134.9,143,790,17,
23,69.2,257.8,135.0,142,789,18,
24,72.6,270.4,135.0,142,789,18,
25,75.9,283.1,133.9,146,801,18,
26,79.5,296.3,134.3,144,797,17,
27,82.9,308.7,134.3,144,797,17,
28,86.2,321.3,135.3,141,786,18,
29,89.6,333.7,135.3,141,786,18,
30,92.9,345.9,135.7,140,782,18,
31,96.2,358.3,135.5,141,784,18,
32,99.5,370.5,135.3,141,786,18,
33,102.9,383.0,135.3,141,786,18,
34,106.2,395.4,136.4,138,774,18,
35,109.5,407.4,134.9,143,790,18,
36,112.8,419.7,135.0,142,789,18,
37,116.1,432.1,134.4,144,796,18,
38,119.4,444.3,133.8,146,802,18,
39,122.6,456.5,134.8,143,791,18,
40,125.8,468.5,133.6,147,805,19,
41,129.0,480.4,133.6,147,805,19,
42,132.2,492.5,132.3,151,820,19,
43,135.5,504.8,132.3,151,820,19,
44,138.6,516.4,135.8,140,780,19,
45,141.9,528.6,135.8,140,780,19,
46,145.3,541.1,136.6,137,772,18,
47,148.6,553.1,135.9,139,779,18,
48,151.8,565.0,135.5,141,784,19,
49,155.1,577.2,135.4,141,785,18,
50,158.4,589.3,137.1,136,767,18,
51,161.6,601.2,136.8,137,770,18,
52,164.9,613.3,136.4,138,774,18,
53,168.2,625.4,136.4,138,774,18,
54,171.5,637.6,136.3,138,775,18,
55,174.5,649.1,134.3,144,797,18,
56,177.9,661.8,135.1,142,788,17,
57,181.1,673.7,135.5,141,784,19,
58,184.2,685.1,135.5,141,784,19,
59,187.5,697.3,133.9,146,801,20,
60,190.8,709.3,135.5,141,784,18,
61,194.1,721.5,138.1,133,757,18,
62,197.3,733.1,138.1,133,757,18,
63,200.5,745.1,137.6,134,762,19,
64,204.1,758.1,137.3,135,765,17,
65,207.5,770.6,137.3,135,765,17,
66,210.8,782.8,137.2,136,766,18,
67,214.2,795.2,136.9,136,769,18,
68,217.5,807.2,136.9,136,769,18,
69,220.7,819.1,135.3,141,786,19,
70,224.1,831.5,137.1,136,767,18,
71,227.3,843.2,137.1,136,767,18,
72,230.6,855.4,136.7,137,771,19,
73,233.9,867.8,135.3,141,786,18,
74,237.1,879.5,135.3,141,786,18,
75,240.4,891.8,135.8,140,780,19,
76,243.7,904.1,135.8,140,780,18,
77,247.2,916.8,137.0,136,768,17,
78,250.5,928.9,136.8,137,770,18,
79,253.8,941.2,136.8,137,770,18,
80,257.1,953.8,134.9,143,790,18,
81,260.5,966.1,134.4,144,796,18,
82,263.8,978.5,135.2,142,787,18,
83,267.2,991.1,136.0,139,778,18,
84,270.6,1003.5,136.3,138,775,18,
85,273.8,1015.4,135.5,141,784,19,
86,277.0,1027.3,135.1,142,788,18,
87,280.3,1039.6,135.3,141,786,18,
88,283.7,1051.9,135.3,141,786,18,
89,287.0,1064.2,137.3,135,765,18,
90,290.3,1076.3,135.6,140,783,19,
91,293.6,1088.6,135.4,141,785,18,
92,296.9,1100.8,134.3,144,797,18,
93,299.9,1111.8,135.7,140,782,20,
