Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.0,3.1,174.1,66,528,,
2,2.7,8.0,174.1,66,528,,
3,3.5,11.6,145.6,113,690,25,
4,6.3,22.0,138.0,133,758,21,
5,9.7,33.8,138.0,133,758,21,
6,13.0,46.0,138.0,133,758,18,
7,16.4,58.6,136.5,138,773,18,
8,19.8,71.0,136.5,138,773,18,
9,23.3,83.8,135.1,142,788,18,
10,26.6,96.1,136.9,136,769,18,
11,30.2,109.3,137.0,136,768,17,
12,33.6,121.9,135.3,141,786,18,
13,37.0,134.5,135.3,141,786,18,
14,40.5,147.8,134.8,143,791,18,
15,44.1,161.1,134.1,145,799,17,
16,47.6,174.2,133.8,146,802,17,
17,51.2,187.7,133.9,146,801,17,
18,54.7,200.9,132.9,149,813,17,
19,58.2,214.1,133.6,147,805,17,
20,61.7,227.3,131.9,153,824,17,
21,65.0,240.0,131.6,154,828,18,
22,68.3,252.7,130.4,158,843,18,
23,71.8,265.9,131.5,154,829,17,
24,75.2,279.1,132.0,152,823,17,
25,78.7,292.2,132.0,152,823,17,
26,82.0,304.9,130.4,158,843,18,
27,85.4,318.0,130.4,158,843,18,
28,88.8,331.1,130.6,157,840,18,
29,92.1,343.9,130.6,157,840,18,
30,95.5,356.8,132.5,150,817,18,
31,99.0,370.0,131.7,153,827,17,
32,102.5,383.2,132.6,150,816,17,
33,105.9,396.1,132.6,150,816,17,
34,109.4,409.6,131.8,153,826,18,
35,112.8,422.5,132.1,152,822,18,
36,116.3,435.7,132.5,150,817,17,
37,119.8,448.7,132.4,151,818,17,
38,123.2,461.6,132.4,151,818,17,
39,126.6,474.6,132.7,150,815,17,
40,130.0,487.6,131.5,154,829,18,
41,133.4,500.6,131.5,154,829,18,
42,136.9,513.5,132.4,151,818,18,
43,140.3,526.4,132.4,151,818,18,
44,143.7,539.4,132.6,150,816,17,
45,147.2,552.3,135.2,142,787,17,
46,150.6,565.1,134.0,145,800,18,
47,154.2,578.5,134.5,144,795,17,
48,157.7,591.6,133.1,148,810,17,
49,161.0,604.3,133.1,148,810,17,
50,164.4,617.2,132.6,150,816,18,
51,167.9,630.1,132.1,152,822,18,
52,171.1,642.5,132.6,150,816,18,
53,174.5,655.3,132.6,150,816,18,
54,178.0,668.1,133.7,146,804,18,
55,181.4,680.7,133.7,146,804,18,
56,184.9,693.6,135.4,141,785,18,
57,188.2,706.2,134.6,144,793,18,
58,191.6,719.1,134.6,144,793,18,
59,195.1,732.1,132.9,149,813,17,
60,198.5,745.0,134.3,144,797,17,
61,202.1,758.1,134.3,144,797,17,
62,205.5,770.8,134.5,144,795,18,
63,208.7,783.1,133.9,146,801,18,
64,212.0,795.3,132.1,152,822,19,
65,215.2,807.4,132.1,152,822,19,
66,218.7,820.5,132.1,152,822,19,
67,222.0,832.9,135.9,139,779,18,
68,225.6,846.0,136.2,139,776,17,
69,229.1,859.0,135.7,140,782,17,
70,232.4,871.2,135.7,140,782,17,
71,235.8,883.8,135.5,141,784,18,
72,239.1,896.0,135.5,141,784,18,
73,242.5,908.8,134.4,144,796,18,
74,245.8,921.1,134.5,144,795,18,
75,249.2,933.4,134.5,144,795,18,
76,252.6,945.8,136.8,137,770,18,
77,255.8,957.7,137.5,135,763,18,
78,259.1,969.7,135.6,140,783,18,
79,262.3,981.6,137.0,136,768,18,
80,265.6,993.7,137.3,135,765,18,
81,269.2,1006.6,139.2,130,746,17,
82,272.8,1019.6,138.7,131,751,17,
83,276.2,1031.9,137.9,133,759,18,
84,279.6,1044.3,139.5,129,743,17,
85,282.9,1055.9,140.3,127,736,18,
86,286.2,1067.9,140.3,127,736,18,
87,289.6,1080.2,139.4,129,744,18,
88,292.9,1092.0,139.6,129,742,18,
89,292.9,1092.0,139.6,129,742,18,
90,296.2,1104.0,139.6,129,742,18,
91,299.6,1115.5,146.4,112,683,18,
