"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717674267689555E9,"2024-06-06 13:44:27.690 UTC+02:00"
"PAUSE",3.000072372083305E2,1.717674567680601E9,"2024-06-06 13:49:27.681 UTC+02:00"
