"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717671299737796E9,"2024-06-06 12:54:59.738 UTC+02:00"
"PAUSE",3.000068000833344E2,1.717671599743305E9,"2024-06-06 12:59:59.743 UTC+02:00"
