"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717672844950913E9,"2024-06-06 13:20:44.951 UTC+02:00"
"PAUSE",3.000114148333305E2,1.717673144961037E9,"2024-06-06 13:25:44.961 UTC+02:00"
