"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717675654876151E9,"2024-06-06 14:07:34.876 UTC+02:00"
"PAUSE",3.000077995000029E2,1.717675954879202E9,"2024-06-06 14:12:34.879 UTC+02:00"
