"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717671966335657E9,"2024-06-06 13:06:06.336 UTC+02:00"
"PAUSE",3.006176610000039E2,1.717672266952417E9,"2024-06-06 13:11:06.952 UTC+02:00"
