"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.574245000E-1,3.667756915E-2,-7.045701891E-2,1.383192688E-1
8.673725000E-1,5.184481293E-2,-3.418371081E-2,1.169752404E-1
8.773195000E-1,4.670411348E-2,-1.789714955E-2,8.844053745E-2
8.872665000E-1,3.346513584E-2,-3.499285504E-2,6.543382257E-2
8.972135000E-1,2.762934938E-2,-6.947679818E-2,4.042753577E-2
9.071605000E-1,2.372709662E-2,-1.181722581E-1,9.278047830E-3
9.171075000E-1,1.451628655E-2,-1.844729930E-1,-3.309391066E-2
9.270545000E-1,6.672629621E-3,-2.159810513E-1,-7.752041519E-2
9.370015000E-1,-5.404273514E-3,-1.868878752E-1,-1.218098551E-1
9.469485000E-1,-1.754967961E-3,-1.335972697E-1,-1.348387897E-1
9.568955000E-1,-2.313965466E-3,-9.941186011E-2,-1.248261034E-1
9.668425000E-1,4.098740406E-3,-6.786531955E-2,-8.669350296E-2
9.767895000E-1,9.563813917E-3,-3.635346889E-2,-4.792666808E-2
9.867365000E-1,1.280541345E-2,-3.211424872E-2,-3.481725976E-2
9.966835000E-1,1.573329233E-2,-6.017517671E-2,-2.400003187E-2
1.006630500E0,3.701264970E-3,-1.035899520E-1,-9.413708001E-3
1.016577500E0,-6.411556154E-3,-1.047590822E-1,1.192407124E-2
1.026524500E0,-1.872787811E-2,-8.527900279E-2,2.829467691E-2
1.036471500E0,-2.015932836E-2,-3.314336762E-2,2.188764326E-2
1.046418500E0,-9.797251783E-3,4.429295659E-2,1.613520831E-2
1.056365500E0,-5.523547297E-4,1.276586950E-1,7.226669230E-3
1.066312500E0,1.574102789E-3,1.807092130E-1,-8.353263140E-3
1.076259500E0,-2.744745463E-3,2.131459862E-1,-2.302674763E-2
1.086206500E0,-1.480193436E-2,2.184729725E-1,-3.327203169E-2
1.096153500E0,-1.825711876E-2,1.987573206E-1,-4.356887937E-2
1.106100500E0,-1.749304496E-2,1.613629758E-1,-5.632040277E-2
1.116047500E0,-1.548528858E-2,1.187547967E-1,-6.977762282E-2
1.125995500E0,-1.137456577E-2,8.629889786E-2,-7.363711298E-2
1.135942500E0,-6.361164618E-3,7.839463651E-2,-5.835908651E-2
1.145889500E0,2.861533780E-3,7.759857178E-2,-4.292118922E-2
1.155836500E0,8.535930887E-3,9.376342595E-2,-2.742585167E-2
1.165783500E0,1.217882801E-2,1.175663397E-1,-1.773184724E-2
1.175730500E0,3.475884674E-3,1.591582745E-1,-2.100833505E-2
1.185677500E0,-1.250784192E-2,2.038539648E-1,-3.345402330E-2
1.195624500E0,-3.659613431E-2,2.380718440E-1,-6.156262010E-2
1.205571500E0,-6.252202392E-2,2.549709380E-1,-9.983842820E-2
1.215518500E0,-7.188063860E-2,2.484065294E-1,-1.533133686E-1
1.225465500E0,-7.006951421E-2,2.474563867E-1,-2.239257693E-1
1.235412500E0,-7.089988887E-2,2.647427022E-1,-2.978862822E-1
1.245359500E0,-7.193659246E-2,2.592563629E-1,-3.447944820E-1
1.255306500E0,-6.392659992E-2,2.086664140E-1,-3.645293117E-1
1.265253500E0,-5.868710205E-2,1.372771859E-1,-3.689204454E-1
1.275200500E0,-6.900604814E-2,7.575069368E-2,-3.670061529E-1
1.285147500E0,-9.717480093E-2,3.264932707E-2,-3.552420735E-1
1.295094500E0,-1.433984935E-1,2.372374386E-2,-3.755454719E-1
1.305041500E0,-1.764994115E-1,5.675294250E-2,-4.185501337E-1
1.314988500E0,-1.897899210E-1,1.074259654E-1,-4.710080028E-1
1.324936500E0,-1.791070700E-1,1.302794218E-1,-5.194298625E-1
1.334883500E0,-1.791558117E-1,1.558471024E-1,-5.855194330E-1
1.344830500E0,-1.850033104E-1,1.863887608E-1,-6.371520162E-1
1.354777500E0,-1.868986934E-1,1.827660650E-1,-6.720029116E-1
1.364724500E0,-1.770478934E-1,1.765033752E-1,-6.944462061E-1
1.374671500E0,-1.571213305E-1,1.582884043E-1,-7.215865254E-1
1.384618500E0,-1.383808404E-1,1.181310490E-1,-7.334935665E-1
1.394565500E0,-1.056327596E-1,9.070448577E-2,-7.496092319E-1
1.404512500E0,-8.635231853E-2,7.542204857E-2,-7.671047449E-1
1.414459500E0,-8.344281465E-2,6.844403595E-2,-7.778761387E-1
1.424406250E0,-7.794240117E-2,1.175200567E-1,-7.874366641E-1
1.434353250E0,-7.696874440E-2,1.859907210E-1,-8.104705811E-1
1.444300250E0,-7.345638424E-2,3.267223835E-1,-8.273283243E-1
1.454247250E0,-5.371729657E-2,4.397946000E-1,-8.531787992E-1
1.464194250E0,-3.923860937E-2,5.467489362E-1,-9.188674688E-1
1.474141250E0,-5.318638310E-2,6.218471527E-1,-9.617102742E-1
1.484089250E0,-6.313256174E-2,6.726711988E-1,-1.024243593E0
1.494036250E0,-7.244323939E-2,6.722099185E-1,-1.082398534E0
1.503983250E0,-9.902831912E-2,6.953756809E-1,-1.102476120E0
1.513930250E0,-1.172773615E-1,6.888831258E-1,-1.131004214E0
1.523877250E0,-1.341415793E-1,6.602366567E-1,-1.149299741E0
1.533824250E0,-1.476496756E-1,6.441365480E-1,-1.137044072E0
1.543771250E0,-1.531458646E-1,6.119751334E-1,-1.135130167E0
1.553718250E0,-1.650957316E-1,6.116957664E-1,-1.121470809E0
1.563665250E0,-1.683436632E-1,6.063110828E-1,-1.120013237E0
1.573612250E0,-1.675127596E-1,6.331892610E-1,-1.128677368E0
1.583559250E0,-1.515679508E-1,6.237665415E-1,-1.139790654E0
1.593506250E0,-1.300919503E-1,6.299536228E-1,-1.149463892E0
1.603453250E0,-1.012506187E-1,6.159220338E-1,-1.157877088E0
1.613400250E0,-7.197982073E-2,6.068723202E-1,-1.161424160E0
1.623348250E0,-4.792404175E-2,5.763649940E-1,-1.157026768E0
1.633295250E0,-3.252271563E-2,5.403600931E-1,-1.152706027E0
1.643242250E0,-2.638518251E-2,5.041252971E-1,-1.150339842E0
1.653189250E0,-2.247219905E-2,4.391614795E-1,-1.150995135E0
1.663136250E0,-1.681418531E-2,3.763664365E-1,-1.155208230E0
1.673083250E0,-3.194781020E-3,3.116961122E-1,-1.160702586E0
1.683030250E0,1.065750048E-2,2.654658258E-1,-1.161933064E0
1.692977250E0,1.887068897E-2,2.458154410E-1,-1.154011011E0
